Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Tobias Harris,2014,2.9,0.8,2.9,harrito02,PHI,2021
Danny Green,1934,0.4,1.5,1.9,greenda02,PHI,2021
Ben Simmons,1877,0.7,2.2,2.3,simmobe01,PHI,2021
Seth Curry,1638,0.1,-0.4,0.7,curryse01,PHI,2021
Joel Embiid,1585,6.3,1.2,3.8,embiijo01,PHI,2021
Shake Milton,1461,-0.7,-1.0,0.1,miltosh01,PHI,2021
Matisse Thybulle,1298,-2.6,4.5,1.3,thybuma01,PHI,2021
Dwight Howard,1196,-2.1,0.6,0.1,howardw01,PHI,2021
Furkan Korkmaz,1062,-0.3,0.2,0.5,korkmfu01,PHI,2021
Tyrese Maxey,935,-1.0,-0.5,0.1,maxeyty01,PHI,2021
Mike Scott,852,-3.2,0.3,-0.2,scottmi01,PHI,2021
Isaiah Joe,383,-2.0,-1.0,-0.1,joeis01,PHI,2021
George Hill,303,-3.3,-0.5,-0.1,hillge01,PHI,2021
Tony Bradley,287,2.3,1.0,0.4,bradlto01,PHI,2021
Paul Reed,177,-1.8,0.8,0.0,reedpa01,PHI,2021
Dakota Mathias,123,-1.5,-1.0,0.0,mathida01,PHI,2021
Anthony Tolliver,99,-5.6,-1.5,-0.1,tollian01,PHI,2021
Rayjon Tucker,68,-3.0,-0.4,0.0,tuckera01,PHI,2021
Terrance Ferguson,49,-12.1,-2.2,-0.2,fergute01,PHI,2021
Vincent Poirier,39,-12.3,-2.4,-0.1,poirivi01,PHI,2021
Mason Jones,27,4.6,0.2,0.0,jonesma05,PHI,2021
Gary Clark,13,-6.5,0.6,0.0,clarkga01,PHI,2021
Ignas Brazdeikis,8,-15.2,-6.2,0.0,brazdig01,PHI,2021
