Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Isaac Okoro,2173,-4.2,-0.9,-1.7,okorois01,CLE,2021
Collin Sexton,2115,1.8,-1.9,1.0,sextoco01,CLE,2021
Darius Garland,1790,0.0,-2.1,-0.1,garlada01,CLE,2021
Jarrett Allen,1544,1.2,-0.4,1.1,allenja01,CLE,2021
Cedi Osman,1510,-2.3,-0.9,-0.5,osmande01,CLE,2021
Dean Wade,1212,-1.1,-0.1,0.2,wadede01,CLE,2021
Larry Nance Jr.,1091,-1.4,1.8,0.7,nancela02,CLE,2021
Damyean Dotson,907,-3.4,-1.4,-0.6,dotsoda01,CLE,2021
Andre Drummond,722,-1.0,0.2,0.2,drumman01,CLE,2021
Taurean Prince,687,-0.9,-0.8,0.0,princta02,CLE,2021
Kevin Love,622,0.9,-0.9,0.3,loveke01,CLE,2021
Dylan Windler,513,-2.0,0.3,0.0,windldy01,CLE,2021
JaVale McGee,503,-2.3,1.2,0.1,mcgeeja01,CLE,2021
Lamar Stevens,499,-4.2,0.0,-0.3,stevela01,CLE,2021
Brodric Thomas,375,-4.5,0.3,-0.2,thomabr01,CLE,2021
Isaiah Hartenstein,287,-0.6,2.3,0.3,harteis01,CLE,2021
Matthew Dellavedova,224,-4.5,-1.9,-0.3,dellama01,CLE,2021
Mfiondu Kabengele,186,-1.9,0.6,0.0,kabenmf01,CLE,2021
Dante Exum,116,-5.4,1.6,-0.1,exumda01,CLE,2021
Quinn Cook,95,-1.5,-0.2,0.0,cookqu01,CLE,2021
Thon Maker,76,-0.3,1.1,0.1,makerth01,CLE,2021
Jeremiah Martin,75,-8.3,-1.1,-0.1,martije02,CLE,2021
Yogi Ferrell,40,-1.9,1.0,0.0,ferreyo01,CLE,2021
Anderson Varejão,36,-3.7,-3.3,0.0,varejan01,CLE,2021
Marques Bolden,29,-3.8,0.8,0.0,boldema01,CLE,2021
