Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Nicolas Batum,1835,0.6,1.5,1.9,batumni01,LAC,2021
Paul George,1821,3.9,0.3,2.9,georgpa01,LAC,2021
Kawhi Leonard,1773,6.0,1.3,4.2,leonaka01,LAC,2021
Ivica Zubac,1609,0.6,0.4,1.2,zubaciv01,LAC,2021
Reggie Jackson,1544,0.6,-0.2,0.9,jacksre01,LAC,2021
Marcus Morris,1502,0.9,-0.8,0.8,morrima03,LAC,2021
Terance Mann,1263,-0.5,0.3,0.6,mannte01,LAC,2021
Luke Kennard,1232,0.3,-0.5,0.6,kennalu01,LAC,2021
Serge Ibaka,955,1.2,0.2,0.8,ibakase01,LAC,2021
Lou Williams,918,-0.5,-1.0,0.1,willilo02,LAC,2021
Patrick Beverley,832,-0.7,1.4,0.6,beverpa01,LAC,2021
Patrick Patterson,582,-0.4,-0.1,0.2,pattepa01,LAC,2021
Amir Coffey,394,-1.9,-0.1,0.0,coffeam01,LAC,2021
Rajon Rondo,368,2.0,0.4,0.4,rondora01,LAC,2021
DeMarcus Cousins,207,-0.2,1.9,0.2,couside01,LAC,2021
Daniel Oturu,161,-4.1,-1.1,-0.1,oturuda01,LAC,2021
Yogi Ferrell,96,0.0,0.7,0.1,ferreyo01,LAC,2021
Mfiondu Kabengele,94,-9.2,-0.9,-0.2,kabenmf01,LAC,2021
Jay Scrubb,84,-8.1,-2.8,-0.2,scrubja01,LAC,2021
Malik Fitts,11,-7.0,-2.1,0.0,fittsma01,LAC,2021
