Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Ja Morant,2053,1.3,-1.6,0.8,moranja01,MEM,2021
Dillon Brooks,1997,-2.6,-1.1,-0.9,brookdi01,MEM,2021
Kyle Anderson,1887,1.4,1.9,2.5,anderky01,MEM,2021
Jonas Valančiūnas,1755,3.2,-0.3,2.2,valanjo01,MEM,2021
Desmond Bane,1519,-0.6,-0.2,0.5,banede01,MEM,2021
Brandon Clarke,1415,0.4,1.2,1.3,clarkbr01,MEM,2021
Grayson Allen,1259,-0.2,0.1,0.6,allengr01,MEM,2021
Tyus Jones,1222,-0.1,0.9,0.9,jonesty01,MEM,2021
Xavier Tillman Sr.,1085,-1.3,1.1,0.5,tillmxa01,MEM,2021
De'Anthony Melton,1045,0.6,1.7,1.1,meltode01,MEM,2021
John Konchar,575,-0.2,1.4,0.5,konchjo01,MEM,2021
Justise Winslow,507,-6.2,0.2,-0.5,winslju01,MEM,2021
Gorgui Dieng,371,1.8,1.6,0.5,dienggo01,MEM,2021
Jaren Jackson Jr.,258,-0.7,0.7,0.1,jacksja02,MEM,2021
Killian Tillie,182,-3.4,-0.3,-0.1,tilliki02,MEM,2021
Sean McDermott,158,-3.1,-1.2,-0.1,mcderse01,MEM,2021
Tim Frazier,62,-10.7,-1.2,-0.2,fraziti01,MEM,2021
Jontay Porter,54,-6.8,0.3,-0.1,portejo01,MEM,2021
