Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Terry Rozier,2383,2.2,-0.5,2.2,roziete01,CHO,2021
P.J. Washington,1954,-1.5,0.6,0.6,washipj01,CHO,2021
Miles Bridges,1932,0.2,0.1,1.1,bridgmi02,CHO,2021
Devonte' Graham,1659,1.8,-1.1,1.1,grahade01,CHO,2021
Gordon Hayward,1496,1.6,-0.1,1.4,haywago01,CHO,2021
LaMelo Ball,1469,1.1,0.7,1.4,ballla01,CHO,2021
Bismack Biyombo,1349,-3.4,0.4,-0.4,biyombi01,CHO,2021
Cody Zeller,1005,-0.2,-0.2,0.4,zelleco01,CHO,2021
Jalen McDaniels,904,-2.8,-0.4,-0.3,mcdanja01,CHO,2021
Malik Monk,878,0.2,-2.0,0.0,monkma01,CHO,2021
Cody Martin,849,-2.7,0.7,0.0,martico01,CHO,2021
Caleb Martin,818,-3.6,0.2,-0.3,martica02,CHO,2021
Brad Wanamaker,428,-4.4,-0.5,-0.3,wanambr01,CHO,2021
Vernon Carey Jr.,115,-4.4,-1.7,-0.1,careyve01,CHO,2021
Nick Richards,63,-5.9,-2.1,-0.1,richani01,CHO,2021
Grant Riller,27,4.6,0.5,0.0,rillegr01,CHO,2021
Nate Darling,26,-1.5,-2.5,0.0,darlina01,CHO,2021
