Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Buddy Hield,2433,1.0,-1.6,0.9,hieldbu01,SAC,2021
Harrison Barnes,2102,1.5,-1.3,1.1,barneha02,SAC,2021
De'Aaron Fox,2036,3.1,-1.3,2.0,foxde01,SAC,2021
Richaun Holmes,1782,0.6,0.0,1.2,holmeri01,SAC,2021
Tyrese Haliburton,1746,1.9,-0.5,1.5,halibty01,SAC,2021
Marvin Bagley III,1112,-0.4,-2.7,-0.3,baglema01,SAC,2021
Cory Joseph,944,-3.0,-0.3,-0.3,josepco01,SAC,2021
Delon Wright,696,0.5,0.6,0.6,wrighde01,SAC,2021
Maurice Harkless,648,-3.8,0.0,-0.3,harklma01,SAC,2021
Terence Davis,581,-0.1,-0.9,0.2,daviste02,SAC,2021
Hassan Whiteside,546,-1.8,-0.4,0.0,whiteha01,SAC,2021
Chimezie Metu,488,-2.2,-1.3,-0.2,metuch01,SAC,2021
Nemanja Bjelica,439,-1.3,-1.3,-0.1,bjeline01,SAC,2021
Glenn Robinson III,369,-1.9,-2.2,-0.2,robingl02,SAC,2021
Damian Jones,341,-1.0,0.3,0.1,jonesda03,SAC,2021
Justin James,310,-2.0,-2.3,-0.2,jamesju01,SAC,2021
Kyle Guy,235,-3.7,-2.1,-0.2,guyky01,SAC,2021
DaQuan Jeffries,232,-3.7,-1.6,-0.2,jeffrda01,SAC,2021
Jahmi'us Ramsey,94,-3.1,-1.4,-0.1,ramseja01,SAC,2021
Louis King,85,2.3,2.5,0.1,kinglo02,SAC,2021
Robert Woodard II,45,-2.7,-2.6,0.0,woodaro01,SAC,2021
Jabari Parker,27,-7.7,-1.4,0.0,parkeja01,SAC,2021
Chris Silva,9,-19.3,-1.3,0.0,silvach01,SAC,2021
Norvel Pelle,4,6.1,-2.9,0.0,pelleno01,SAC,2021
