Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Dennis Schröder,SG,1956,-1.3,0.2,0.4,schrode01,LAL,2021
Kyle Kuzma,SF,1954,-0.4,-0.1,0.8,kuzmaky01,LAL,2021
Kentavious Caldwell-Pope,SG,1902,-1.6,1.0,0.7,caldwke01,LAL,2021
Montrezl Harrell,C,1580,2.3,0.7,2.0,harremo01,LAL,2021
LeBron James,PG,1504,5.9,2.3,3.8,jamesle01,LAL,2021
Talen Horton-Tucker,SG,1304,-2.6,1.5,0.3,hortota01,LAL,2021
Alex Caruso,PG,1216,-2.5,2.5,0.6,carusal01,LAL,2021
Markieff Morris,PF,1200,-2.9,0.3,-0.2,morrima02,LAL,2021
Anthony Davis,PF,1162,2.6,2.2,2.0,davisan02,LAL,2021
Wesley Matthews,SG,1130,-3.1,1.4,0.1,matthwe02,LAL,2021
Marc Gasol,C,993,-1.4,3.7,1.1,gasolma01,LAL,2021
Andre Drummond,C,520,-2.7,1.0,0.0,drumman01,LAL,2021
Ben McLemore,SG,368,-1.6,-1.4,-0.1,mclembe01,LAL,2021
Alfonzo McKinnie,SF,258,0.3,-0.8,0.1,mckinal01,LAL,2021
Damian Jones,C,112,-2.0,1.8,0.1,jonesda03,LAL,2021
Devontae Cacok,PF,98,-1.5,0.4,0.0,cacokde01,LAL,2021
Jared Dudley,PF,81,-4.4,0.9,0.0,dudleja01,LAL,2021
Quinn Cook,PG,62,-0.3,-0.1,0.0,cookqu01,LAL,2021
Kostas Antetokounmpo,PF,56,-13.3,0.8,-0.1,antetko01,LAL,2021
