Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Luka Dončić,2262,6.1,0.7,5.1,doncilu01,DAL,2021
Tim Hardaway Jr.,1985,2.0,-1.7,1.2,hardati02,DAL,2021
Dorian Finney-Smith,1921,0.2,0.0,1.0,finnedo01,DAL,2021
Josh Richardson,1790,-1.5,-0.2,0.1,richajo01,DAL,2021
Jalen Brunson,1697,1.5,-0.6,1.2,brunsja01,DAL,2021
Maxi Kleber,1341,-0.5,0.5,0.7,klebima01,DAL,2021
Kristaps Porziņģis,1327,3.0,-0.8,1.4,porzikr01,DAL,2021
Dwight Powell,966,-0.7,1.3,0.6,poweldw01,DAL,2021
Trey Burke,911,-1.4,-0.4,0.0,burketr01,DAL,2021
Willie Cauley-Stein,906,-2.2,0.9,0.2,caulewi01,DAL,2021
James Johnson,504,-2.0,2.5,0.3,johnsja01,DAL,2021
Josh Green,445,-3.7,0.1,-0.2,greenjo02,DAL,2021
Nicolò Melli,325,-2.3,-0.8,-0.1,mellini01,DAL,2021
Wes Iwundu,288,-5.5,0.5,-0.2,iwundwe01,DAL,2021
Boban Marjanović,271,1.9,-2.6,0.1,marjabo01,DAL,2021
JJ Redick,147,-3.4,-2.6,-0.1,redicjj01,DAL,2021
Nate Hinton,93,-4.5,1.0,0.0,hintona01,DAL,2021
Tyler Bey,71,-5.5,-3.9,-0.1,beyty01,DAL,2021
Tyrell Terry,56,-7.5,2.6,0.0,terryty01,DAL,2021
