Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Joe Harris,2141,1.6,-1.2,1.3,harrijo01,BRK,2021
Kyrie Irving,1886,5.7,-0.2,3.6,irvinky01,BRK,2021
Jeff Green,1835,0.0,-0.9,0.5,greenje02,BRK,2021
Bruce Brown,1451,-0.4,0.2,0.7,brownbr01,BRK,2021
Landry Shamet,1403,-0.9,-1.5,-0.2,shamela01,BRK,2021
James Harden,1319,6.4,1.3,3.2,hardeja01,BRK,2021
DeAndre Jordan,1246,0.1,1.0,0.9,jordade01,BRK,2021
Kevin Durant,1157,6.4,0.8,2.7,duranke01,BRK,2021
Timothé Luwawu-Cabarrot,1050,-3.2,-1.2,-0.6,luwawti01,BRK,2021
Tyler Johnson,684,-2.4,-1.0,-0.2,johnsty01,BRK,2021
Nic Claxton,594,-1.0,1.4,0.4,claxtni01,BRK,2021
Blake Griffin,560,0.5,0.3,0.4,griffbl01,BRK,2021
Caris LeVert,334,2.1,-0.6,0.3,leverca01,BRK,2021
Jarrett Allen,320,1.7,0.9,0.4,allenja01,BRK,2021
Mike James,236,-2.1,-2.3,-0.1,jamesmi02,BRK,2021
Chris Chiozza,232,-0.1,-0.6,0.1,chiozch01,BRK,2021
Taurean Prince,218,-2.2,0.1,0.0,princta02,BRK,2021
Reggie Perry,211,-5.3,-1.4,-0.2,perryre01,BRK,2021
Alize Johnson,189,2.7,0.0,0.2,johnsal02,BRK,2021
LaMarcus Aldridge,130,0.1,2.1,0.1,aldrila01,BRK,2021
Spencer Dinwiddie,64,-2.4,2.6,0.0,dinwisp01,BRK,2021
Andre Roberson,63,-5.2,-0.9,-0.1,roberan03,BRK,2021
Norvel Pelle,28,-12.2,-0.8,-0.1,pelleno01,BRK,2021
Tyler Cook,17,-5.2,-1.0,0.0,cookty01,BRK,2021
Rodions Kurucs,16,-0.8,0.8,0.0,kurucro01,BRK,2021
Iman Shumpert,11,-10.4,-2.2,0.0,shumpim01,BRK,2021
Noah Vonleh,11,-21.3,-5.0,-0.1,vonleno01,BRK,2021
