Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Eric Bledsoe,2111,-1.2,-0.9,0.0,bledser01,NOP,2021
Brandon Ingram,2093,3.3,-1.1,2.2,ingrabr01,NOP,2021
Zion Williamson,2026,6.1,-0.3,4.0,willizi01,NOP,2021
Lonzo Ball,1747,1.4,0.3,1.6,balllo01,NOP,2021
Steven Adams,1605,-0.4,0.1,0.7,adamsst01,NOP,2021
Josh Hart,1349,-1.1,0.3,0.4,hartjo01,NOP,2021
Nickeil Alexander-Walker,1007,-1.4,0.1,0.2,alexani01,NOP,2021
Jaxson Hayes,964,0.6,0.0,0.6,hayesja02,NOP,2021
Kira Lewis Jr.,904,-3.2,-0.2,-0.3,lewiski01,NOP,2021
Willy Hernangómez,846,1.0,-1.0,0.4,hernawi01,NOP,2021
Naji Marshall,700,-2.1,0.8,0.1,marshna01,NOP,2021
JJ Redick,576,-0.8,-2.0,-0.1,redicjj01,NOP,2021
James Johnson,539,-3.3,0.5,-0.1,johnsja01,NOP,2021
Wes Iwundu,251,-6.8,-1.2,-0.4,iwundwe01,NOP,2021
Nicolò Melli,241,-4.9,1.1,-0.1,mellini01,NOP,2021
Wenyen Gabriel,241,-3.2,-0.1,-0.1,gabriwe01,NOP,2021
Sindarius Thornwell,73,-6.0,0.7,-0.1,thornsi01,NOP,2021
Didi Louzada,56,-7.8,-1.8,-0.1,louzama01,NOP,2021
James Nunnally,48,-0.9,-1.8,0.0,nunnaja01,NOP,2021
Isaiah Thomas,48,-7.8,-5.2,-0.1,thomais02,NOP,2021
Will Magnay,3,-30.7,-8.6,0.0,magnawi01,NOP,2021
