Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Dejounte Murray,2139,-0.2,1.0,1.5,murrade01,SAS,2021
DeMar DeRozan,2056,3.2,-0.1,2.6,derozde01,SAS,2021
Keldon Johnson,1968,-0.9,-0.7,0.2,johnske04,SAS,2021
Jakob Poeltl,1845,-0.5,1.2,1.3,poeltja01,SAS,2021
Patty Mills,1685,0.0,-1.2,0.4,millspa02,SAS,2021
Lonnie Walker IV,1522,-2.3,-1.4,-0.7,walkelo01,SAS,2021
Rudy Gay,1358,-0.1,0.0,0.6,gayru01,SAS,2021
Derrick White,1064,1.3,0.0,0.9,whitede01,SAS,2021
Devin Vassell,1056,-2.2,0.7,0.1,vassede01,SAS,2021
Drew Eubanks,755,-1.0,1.0,0.4,eubandr01,SAS,2021
LaMarcus Aldridge,544,-0.2,-0.7,0.2,aldrila01,SAS,2021
Trey Lyles,358,-1.3,-0.5,0.0,lylestr01,SAS,2021
Luka Šamanić,308,-4.2,-0.7,-0.2,samanlu01,SAS,2021
Tre Jones,269,-2.2,-1.3,-0.1,jonestr01,SAS,2021
Keita Bates-Diop,245,-2.3,0.4,0.0,bateske01,SAS,2021
Gorgui Dieng,181,2.0,1.5,0.2,dienggo01,SAS,2021
Quinndary Weatherspoon,121,-5.8,0.7,-0.1,weathqu01,SAS,2021
Cameron Reynolds,6,-4.4,-3.6,0.0,reynoca01,SAS,2021
