Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Théo Maledon,1778,-4.0,-1.0,-1.3,maledth01,OKC,2021
Darius Bazley,1714,-3.1,-1.3,-1.0,bazleda01,OKC,2021
Luguentz Dort,1543,-2.6,-0.9,-0.6,dortlu01,OKC,2021
Kenrich Williams,1426,-1.2,0.5,0.4,willike04,OKC,2021
Isaiah Roby,1425,-3.7,0.4,-0.5,robyis01,OKC,2021
Shai Gilgeous-Alexander,1180,3.9,0.2,1.8,gilgesh01,OKC,2021
Aleksej Pokusevski,1090,-5.1,-1.0,-1.1,pokusal01,OKC,2021
Moses Brown,920,-1.3,-1.2,-0.1,brownmo01,OKC,2021
Ty Jerome,788,0.1,-0.8,0.3,jeromty01,OKC,2021
Al Horford,782,2.0,1.4,1.1,horfoal01,OKC,2021
Hamidou Diallo,761,-2.1,0.6,0.1,diallha01,OKC,2021
Svi Mykhailiuk,690,-2.2,-1.1,-0.2,mykhasv01,OKC,2021
Mike Muscala,645,0.9,-1.0,0.3,muscami01,OKC,2021
Justin Jackson,544,-2.3,-1.0,-0.2,jacksju01,OKC,2021
Tony Bradley,397,0.4,-0.5,0.2,bradlto01,OKC,2021
George Hill,369,0.9,0.1,0.3,hillge01,OKC,2021
Josh Hall,336,-9.7,-2.2,-0.8,halljo01,OKC,2021
Jaylen Hoard,320,-2.2,-0.3,0.0,hoardja01,OKC,2021
Gabriel Deck,212,0.0,-0.4,0.1,deckga01,OKC,2021
Darius Miller,197,0.8,2.7,0.3,milleda01,OKC,2021
Charlie Brown Jr.,152,-7.4,-1.3,-0.3,brownch02,OKC,2021
Justin Robinson,88,-5.8,-1.0,-0.1,robinju01,OKC,2021
