Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Andrew Wiggins,2364,0.0,-0.4,1.0,wiggian01,GSW,2021
Stephen Curry,2152,8.3,0.4,5.8,curryst01,GSW,2021
Draymond Green,1982,-1.6,3.3,1.9,greendr01,GSW,2021
Kelly Oubre Jr.,1687,-1.4,-0.5,0.0,oubreke01,GSW,2021
Kent Bazemore,1333,-2.9,1.7,0.2,bazemke01,GSW,2021
Kevon Looney,1161,-1.8,1.0,0.3,looneke01,GSW,2021
Juan Toscano-Anderson,1107,-1.4,2.2,0.8,toscaju01,GSW,2021
Damion Lee,1079,-0.7,0.9,0.6,leeda03,GSW,2021
Jordan Poole,988,0.7,-1.2,0.4,poolejo01,GSW,2021
James Wiseman,836,-4.0,-1.0,-0.6,wisemja01,GSW,2021
Mychal Mulder,766,-0.6,-1.2,0.0,muldemy01,GSW,2021
Eric Paschall,695,-1.8,-0.9,-0.1,pascher01,GSW,2021
Brad Wanamaker,625,-4.4,0.9,-0.2,wanambr01,GSW,2021
Nico Mannion,364,-3.4,-0.5,-0.2,mannini01,GSW,2021
Alen Smailagić,84,-4.9,-0.4,-0.1,smailal01,GSW,2021
Gary Payton II,40,1.0,8.2,0.1,paytoga02,GSW,2021
Marquese Chriss,27,-2.4,0.3,0.0,chrisma01,GSW,2021
Jordan Bell,15,-8.3,1.7,0.0,belljo01,GSW,2021
