Player,MP,OBPM,DBPM,VORP,Player-additional,Team,year
Russell Westbrook,2369,2.6,1.1,3.4,westbru01,WAS,2021
Bradley Beal,2147,4.8,-1.4,2.9,bealbr01,WAS,2021
Rui Hachimura,1797,-2.2,-1.0,-0.5,hachiru01,WAS,2021
Dāvis Bertāns,1464,0.3,-1.1,0.4,bertada01,WAS,2021
Raul Neto,1403,-1.4,0.9,0.5,netora01,WAS,2021
Robin Lopez,1354,0.2,-1.2,0.4,lopezro01,WAS,2021
Deni Avdija,1257,-3.6,0.4,-0.4,avdijde01,WAS,2021
Garrison Mathews,1038,-1.7,-0.1,0.1,mathega01,WAS,2021
Ish Smith,924,-2.1,0.5,0.1,smithis01,WAS,2021
Alex Len,903,-0.7,0.9,0.5,lenal01,WAS,2021
Isaac Bonga,432,-5.8,0.0,-0.4,bongais01,WAS,2021
Daniel Gafford,408,2.5,1.6,0.6,gaffoda01,WAS,2021
Moritz Wagner,375,-1.5,1.3,0.2,wagnemo01,WAS,2021
Jerome Robinson,305,-6.9,-0.1,-0.4,robinje01,WAS,2021
Troy Brown Jr.,287,-4.2,-1.3,-0.3,browntr01,WAS,2021
Chandler Hutchison,282,-4.9,0.3,-0.2,hutchch01,WAS,2021
Thomas Bryant,271,1.4,-0.6,0.2,bryanth01,WAS,2021
Anthony Gill,218,-1.6,0.3,0.0,gillan01,WAS,2021
Cassius Winston,98,-2.1,-1.1,0.0,winstca01,WAS,2021
Jordan Bell,67,-5.4,-0.3,-0.1,belljo01,WAS,2021
Anžejs Pasečņiks,6,-40.7,-5.9,-0.1,pasecan01,WAS,2021
