Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Tyrese Maxey,PG,2650,1.3,-0.7,1.8,maxeyty01,PHI,2022
Tobias Harris,PF,2543,0.6,-0.6,1.3,harrito02,PHI,2022
Joel Embiid,C,2297,7.2,2.0,6.5,embiijo01,PHI,2022
Georges Niang,PF,1736,-0.8,-1.1,0.0,niangge01,PHI,2022
Matisse Thybulle,SG,1685,-2.2,3.3,1.3,thybuma01,PHI,2022
Seth Curry,SG,1566,-0.1,-0.9,0.4,curryse01,PHI,2022
Furkan Korkmaz,SG,1414,-2.0,-1.1,-0.4,korkmfu01,PHI,2022
Danny Green,SF,1353,-1.4,0.8,0.5,greenda02,PHI,2022
Shake Milton,SG,1179,-1.6,-0.6,-0.1,miltosh01,PHI,2022
Andre Drummond,C,902,-1.2,2.5,0.7,drumman01,PHI,2022
James Harden,PG,792,3.8,0.1,1.2,hardeja01,PHI,2022
Isaiah Joe,SG,609,-3.1,-1.5,-0.4,joeis01,PHI,2022
Paul Reed,C,302,-0.8,2.9,0.3,reedpa01,PHI,2022
DeAndre Jordan,C,214,-1.6,-1.4,0.0,jordade01,PHI,2022
Charles Bassey,C,168,-0.4,2.1,0.2,bassech01,PHI,2022
Charlie Brown Jr.,SG,162,-5.0,-0.1,-0.1,brownch02,PHI,2022
Paul Millsap,C,106,-4.1,-0.4,-0.1,millspa01,PHI,2022
Myles Powell,PG,52,-10.5,-2.2,-0.1,powelmy01,PHI,2022
Tyler Johnson,PG,38,-2.4,0.5,0.0,johnsty01,PHI,2022
Aaron Henry,SF,17,-14.0,-2.4,-0.1,henryaa01,PHI,2022
Braxton Key,SF,6,-9.5,3.3,0.0,keybr01,PHI,2022
Jaden Springer,SG,6,8.3,8.7,0.0,sprinja01,PHI,2022
Willie Cauley-Stein,C,6,-4.6,5.8,0.0,caulewi01,PHI,2022
