Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Reggie Jackson,SG,2337,-1.4,-1.6,-0.6,jacksre01,LAC,2022
Terance Mann,SF,2317,-0.8,0.2,0.8,mannte01,LAC,2022
Luke Kennard,SG,1919,0.8,-0.3,1.2,kennalu01,LAC,2022
Ivica Zubac,C,1852,-0.1,0.8,1.3,zubaciv01,LAC,2022
Amir Coffey,SG,1567,-0.3,0.0,0.7,coffeam01,LAC,2022
Marcus Morris,PF,1564,-0.3,-1.0,0.3,morrima03,LAC,2022
Nicolas Batum,PF,1462,0.5,1.9,1.6,batumni01,LAC,2022
Eric Bledsoe,PG,1361,-2.1,1.3,0.4,bledser01,LAC,2022
Isaiah Hartenstein,C,1216,1.4,3.1,2.0,harteis01,LAC,2022
Paul George,PF,1077,1.8,1.9,1.6,georgpa01,LAC,2022
Brandon Boston Jr.,SG,760,-3.0,-0.4,-0.3,bostobr01,LAC,2022
Serge Ibaka,C,538,-1.3,0.3,0.1,ibakase01,LAC,2022
Robert Covington,PF,509,1.9,2.2,0.8,covinro01,LAC,2022
Justise Winslow,PF,479,-3.5,2.0,0.1,winslju01,LAC,2022
Xavier Moon,SG,137,-1.1,1.0,0.1,moonxa01,LAC,2022
Keon Johnson,SG,135,-6.0,0.3,-0.1,johnske07,LAC,2022
Rodney Hood,SF,128,-1.8,-0.5,0.0,hoodro01,LAC,2022
Norman Powell,SG,125,7.8,-0.1,0.3,powelno01,LAC,2022
Jay Scrubb,SG,121,-4.4,-0.4,-0.1,scrubja01,LAC,2022
Semi Ojeleye,PF,98,-1.7,-1.4,0.0,ojelese01,LAC,2022
Wenyen Gabriel,PF,46,-6.6,-0.9,-0.1,gabriwe01,LAC,2022
James Ennis III,SF,28,3.7,0.3,0.0,ennisja01,LAC,2022
Moses Wright,PF,1,10.8,13.4,0.0,wrighmo01,LAC,2022
