Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Trae Young,PG,2652,7.1,-2.0,4.8,youngtr01,ATL,2022
Kevin Huerter,SF,2188,-0.5,-0.7,0.4,huertke01,ATL,2022
Clint Capela,C,2042,2.1,-0.1,2.1,capelca01,ATL,2022
Bogdan Bogdanović,SG,1848,1.5,-0.2,1.5,bogdabo01,ATL,2022
Danilo Gallinari,PF,1672,1.0,-1.2,0.8,gallida01,ATL,2022
John Collins,PF,1663,1.5,0.0,1.5,collijo01,ATL,2022
De'Andre Hunter,SF,1577,-2.4,-1.5,-0.8,huntede01,ATL,2022
Delon Wright,SG,1452,-0.2,2.4,1.6,wrighde01,ATL,2022
Onyeka Okongwu,C,992,0.0,0.8,0.7,okongon01,ATL,2022
Lou Williams,PG,799,-2.0,-1.4,-0.3,willilo02,ATL,2022
Cam Reddish,SF,797,-0.8,-0.7,0.1,reddica01,ATL,2022
Timothé Luwawu-Cabarrot,SF,685,-2.3,-1.0,-0.2,luwawti01,ATL,2022
Gorgui Dieng,C,371,1.4,0.8,0.4,dienggo01,ATL,2022
Skylar Mays,SG,220,-1.2,-0.8,0.0,mayssk01,ATL,2022
Solomon Hill,SF,139,-5.2,1.2,-0.1,hillso01,ATL,2022
Jalen Johnson,PF,120,-3.9,-1.1,-0.1,johnsja05,ATL,2022
Kevin Knox,SF,111,-4.4,-2.5,-0.1,knoxke01,ATL,2022
Chaundee Brown Jr.,SG,83,-2.4,-1.7,0.0,brownch05,ATL,2022
Wes Iwundu,SF,82,-4.1,-2.7,-0.1,iwundwe01,ATL,2022
Lance Stephenson,SG,70,-6.8,-0.8,-0.1,stephla01,ATL,2022
Malcolm Hill,SG,46,0.3,3.5,0.1,hillma01,ATL,2022
Cameron Oliver,SF,43,2.3,-0.5,0.0,oliveca01,ATL,2022
Sharife Cooper,PG,39,-11.3,-5.0,-0.1,coopesh01,ATL,2022
Cat Barber,PG,13,-15.8,-7.6,-0.1,barbeca01,ATL,2022
