Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Patty Mills,SG,2346,-0.3,-1.4,0.2,millspa02,BRK,2022
Kevin Durant,PF,2047,6.4,0.7,4.8,duranke01,BRK,2022
Bruce Brown,SF,1774,-0.4,1.1,1.2,brownbr01,BRK,2022
James Harden,PG,1627,3.7,0.4,2.5,hardeja01,BRK,2022
James Johnson,PF,1191,-2.7,0.6,-0.1,johnsja01,BRK,2022
Cam Thomas,SG,1176,-2.0,-1.4,-0.4,thomaca02,BRK,2022
Kyrie Irving,PG,1091,4.2,-1.2,1.4,irvinky01,BRK,2022
LaMarcus Aldridge,C,1050,1.3,-0.6,0.7,aldrila01,BRK,2022
Kessler Edwards,SF,987,-3.1,-0.8,-0.5,edwarke02,BRK,2022
Nic Claxton,C,974,0.3,0.2,0.6,claxtni01,BRK,2022
Blake Griffin,C,958,-0.6,0.1,0.3,griffbl01,BRK,2022
DeAndre' Bembry,SF,949,-2.0,1.6,0.4,bembrde01,BRK,2022
Seth Curry,SG,569,1.5,-0.8,0.4,curryse01,BRK,2022
Jevon Carter,PG,552,-3.6,-0.9,-0.3,carteje01,BRK,2022
Andre Drummond,C,535,1.7,-0.5,0.4,drumman01,BRK,2022
Joe Harris,SF,423,-0.9,-0.5,0.1,harrijo01,BRK,2022
Goran Dragić,PG,408,-3.3,-1.1,-0.3,dragigo01,BRK,2022
Day'Ron Sharpe,PF,391,-0.3,-2.5,-0.1,sharpda01,BRK,2022
David Duke Jr.,PG,341,-3.0,-0.9,-0.2,dukeda01,BRK,2022
Paul Millsap,C,270,-3.6,0.5,-0.1,millspa01,BRK,2022
Langston Galloway,SG,58,-7.7,-2.8,-0.1,gallola01,BRK,2022
Shaquille Harrison,SG,23,-9.0,0.6,0.0,harrish01,BRK,2022
James Ennis III,SF,14,-0.5,-0.6,0.0,ennisja01,BRK,2022
Wenyen Gabriel,PF,1,-1.9,0.3,0.0,gabriwe01,BRK,2022
