Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Keldon Johnson,SF,2392,0.7,-1.2,0.9,johnske04,SAS,2022
Dejounte Murray,PG,2366,3.7,1.7,4.4,murrade01,SAS,2022
Jakob Poeltl,C,1970,0.9,0.7,1.7,poeltja01,SAS,2022
Devin Vassell,SF,1937,-0.5,0.0,0.7,vassede01,SAS,2022
Lonnie Walker IV,SG,1612,-1.2,-1.3,-0.2,walkelo01,SAS,2022
Derrick White,SG,1486,1.2,0.6,1.4,whitede01,SAS,2022
Doug McDermott,PF,1223,-0.4,-2.1,-0.1,mcderdo01,SAS,2022
Tre Jones,PG,1148,-0.9,0.4,0.4,jonestr01,SAS,2022
Joshua Primo,SF,965,-3.8,-1.1,-0.7,primojo01,SAS,2022
Keita Bates-Diop,SF,956,-2.1,-0.5,-0.1,bateske01,SAS,2022
Bryn Forbes,SG,676,-0.3,-1.3,0.1,forbebr01,SAS,2022
Drew Eubanks,C,595,-1.9,0.7,0.1,eubandr01,SAS,2022
Jock Landale,C,589,0.7,-1.1,0.2,landajo01,SAS,2022
Josh Richardson,SG,513,0.1,-0.3,0.2,richajo01,SAS,2022
Zach Collins,C,502,-1.2,1.0,0.2,colliza01,SAS,2022
Thaddeus Young,PF,370,0.5,1.8,0.4,youngth01,SAS,2022
Joe Wieskamp,SG,205,-2.9,-1.1,-0.1,wieskjo01,SAS,2022
Devontae Cacok,PF,121,0.7,3.5,0.2,cacokde01,SAS,2022
Tyler Johnson,PG,53,-4.9,1.1,0.0,johnsty01,SAS,2022
Juancho Hernangómez,PF,51,-2.4,-0.1,0.0,hernaju01,SAS,2022
Romeo Langford,SG,43,-3.8,-0.4,0.0,langfro01,SAS,2022
Jaylen Morris,SG,16,-15.8,-5.7,-0.1,morrija01,SAS,2022
Tomáš Satoranský,SF,9,0.8,-2.1,0.0,satorto01,SAS,2022
Anthony Lamb,SF,8,-6.2,-1.8,0.0,lamban01,SAS,2022
