Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Andrew Wiggins,SF,2329,0.3,0.1,1.4,wiggian01,GSW,2022
Jordan Poole,SG,2283,1.3,-0.3,1.7,poolejo01,GSW,2022
Stephen Curry,PG,2211,5.4,0.4,4.4,curryst01,GSW,2022
Kevon Looney,C,1732,-0.9,1.7,1.3,looneke01,GSW,2022
Otto Porter Jr.,PF,1396,1.0,2.1,1.8,porteot01,GSW,2022
Draymond Green,PF,1329,-1.4,4.6,1.8,greendr01,GSW,2022
Damion Lee,SG,1256,-2.4,0.4,0.0,leeda03,GSW,2022
Gary Payton II,SG,1247,0.3,3.4,1.8,paytoga02,GSW,2022
Jonathan Kuminga,SF,1185,-1.3,-0.2,0.1,kuminjo01,GSW,2022
Nemanja Bjelica,C,1142,-0.9,2.3,1.0,bjeline01,GSW,2022
Juan Toscano-Anderson,SF,994,-3.3,2.4,0.3,toscaju01,GSW,2022
Klay Thompson,SG,941,2.6,-1.6,0.7,thompkl01,GSW,2022
Moses Moody,SG,607,-1.4,-1.1,-0.1,moodymo01,GSW,2022
Andre Iguodala,SF,603,-0.9,3.7,0.7,iguodan01,GSW,2022
Chris Chiozza,PG,372,-5.7,-0.2,-0.4,chiozch01,GSW,2022
Quinndary Weatherspoon,SG,73,-4.5,0.1,0.0,weathqu01,GSW,2022
Jeff Dowtin Jr.,PG,28,-4.3,0.7,0.0,dowtije01,GSW,2022
