Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Kentavious Caldwell-Pope,SG,2329,-0.9,-0.6,0.3,caldwke01,WAS,2022
Kyle Kuzma,PF,2204,0.2,-0.4,1.0,kuzmaky01,WAS,2022
Deni Avdija,SF,1984,-2.1,0.4,0.1,avdijde01,WAS,2022
Corey Kispert,SF,1801,-0.8,-1.5,-0.1,kispeco01,WAS,2022
Daniel Gafford,C,1444,1.1,0.5,1.3,gaffoda01,WAS,2022
Bradley Beal,SG,1439,2.0,-1.2,1.0,bealbr01,WAS,2022
Raul Neto,PG,1372,-2.5,-0.5,-0.4,netora01,WAS,2022
Spencer Dinwiddie,PG,1330,-0.2,-0.7,0.3,dinwisp01,WAS,2022
Montrezl Harrell,C,1117,4.3,0.6,1.9,harremo01,WAS,2022
Rui Hachimura,PF,943,0.2,-1.7,0.1,hachiru01,WAS,2022
Aaron Holiday,PG,663,-2.4,0.3,0.0,holidaa01,WAS,2022
Ish Smith,PG,615,-0.9,-0.6,0.1,smithis01,WAS,2022
Dāvis Bertāns,PF,501,-2.5,-1.3,-0.2,bertada01,WAS,2022
Kristaps Porziņģis,PF,479,5.4,0.2,0.9,porzikr01,WAS,2022
Anthony Gill,PF,463,-0.6,-1.3,0.0,gillan01,WAS,2022
Thomas Bryant,C,439,-0.4,-0.7,0.1,bryanth01,WAS,2022
Tomáš Satoranský,PG,416,-1.4,0.0,0.1,satorto01,WAS,2022
Isaiah Todd,PF,74,-5.7,-1.2,-0.1,toddis01,WAS,2022
Cassius Winston,PG,39,-5.9,-3.5,-0.1,winstca01,WAS,2022
Jordan Schakel,SG,30,-8.6,-4.3,-0.1,schakjo01,WAS,2022
Vernon Carey Jr.,C,27,-3.2,-4.1,0.0,careyve01,WAS,2022
Brad Wanamaker,PG,27,-1.8,4.7,0.0,wanambr01,WAS,2022
Joel Ayayi,SG,20,-4.3,-1.7,0.0,ayayijo01,WAS,2022
Craig Sword,SG,19,-8.6,10.0,0.0,swordcr01,WAS,2022
Greg Monroe,C,18,-0.1,-4.3,0.0,monrogr01,WAS,2022
Alize Johnson,PF,18,-7.7,-8.3,-0.1,johnsal02,WAS,2022
Tremont Waters,PG,8,-9.4,4.0,0.0,watertr01,WAS,2022
Jordan Goodwin,SG,6,-24.7,-9.4,0.0,goodwjo01,WAS,2022
Jaime Echenique,C,3,-5.5,-3.0,0.0,echenja01,WAS,2022
