Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Dillon Brooks,SF,2214,-3.4,-0.5,-1.1,brookdi01,MEM,2023
Ja Morant,PG,1948,5.2,0.5,3.8,moranja01,MEM,2023
Tyus Jones,PG,1940,1.2,0.3,1.7,jonesty01,MEM,2023
Desmond Bane,SG,1841,3.3,0.1,2.5,banede01,MEM,2023
Jaren Jackson Jr.,C,1787,0.7,2.0,2.2,jacksja02,MEM,2023
Santi Aldama,PF,1682,-0.3,0.8,1.1,aldamsa01,MEM,2023
John Konchar,SF,1494,-1.9,2.4,0.9,konchjo01,MEM,2023
David Roddy,PF,1258,-3.2,-0.7,-0.6,roddyda01,MEM,2023
Xavier Tillman Sr.,C,1180,0.3,1.7,1.2,tillmxa01,MEM,2023
Steven Adams,C,1133,-0.3,0.9,0.7,adamsst01,MEM,2023
Brandon Clarke,PF,1090,0.8,1.8,1.3,clarkbr01,MEM,2023
Luke Kennard,SG,590,3.0,-0.2,0.7,kennalu01,MEM,2023
Ziaire Williams,SF,561,-4.7,-0.8,-0.5,willizi02,MEM,2023
Jake LaRavia,PF,414,-3.9,0.4,-0.2,laravja01,MEM,2023
Kennedy Chandler,PG,281,-3.3,0.6,0.0,chandke01,MEM,2023
Kenneth Lofton Jr.,PF,176,0.7,-1.1,0.1,loftoke01,MEM,2023
Vince Williams Jr.,SG,105,-8.3,-0.2,-0.2,willivi01,MEM,2023
Danny Green,SG,43,-7.9,-0.9,-0.1,greenda02,MEM,2023
Jacob Gilyard,PG,41,-7.8,1.7,0.0,gilyaja01,MEM,2023
