Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Bam Adebayo,C,2598,0.8,0.8,2.3,adebaba01,MIA,2023
Tyler Herro,SG,2337,1.5,-0.8,1.6,herroty01,MIA,2023
Max Strus,SF,2272,-0.8,-0.9,0.2,strusma01,MIA,2023
Jimmy Butler,PF,2138,6.7,2.0,5.8,butleji01,MIA,2023
Caleb Martin,SF,2077,-1.8,0.5,0.4,martica02,MIA,2023
Gabe Vincent,PG,1759,-3.1,-0.3,-0.6,vincega01,MIA,2023
Kyle Lowry,PG,1718,-0.7,0.8,0.9,lowryky01,MIA,2023
Victor Oladipo,SG,1106,-2.9,0.8,0.0,oladivi01,MIA,2023
Haywood Highsmith,PF,969,-3.7,0.7,-0.3,highsha01,MIA,2023
Duncan Robinson,SF,691,-3.5,-1.5,-0.5,robindu01,MIA,2023
Orlando Robinson,C,425,-2.7,0.7,0.0,robinor01,MIA,2023
Kevin Love,PF,419,-1.0,-0.1,0.1,loveke01,MIA,2023
Dewayne Dedmon,C,350,-2.4,0.6,0.0,dedmode01,MIA,2023
Jamal Cain,PF,240,-0.5,1.3,0.2,cainja01,MIA,2023
Cody Zeller,C,217,-2.0,-0.7,0.0,zelleco01,MIA,2023
Nikola Jović,PF,204,-3.4,0.0,-0.1,jovicni01,MIA,2023
Omer Yurtseven,C,83,-2.5,-1.5,0.0,yurtsom01,MIA,2023
Udonis Haslem,C,71,-8.2,-3.9,-0.2,hasleud01,MIA,2023
Dru Smith,SG,67,-6.3,3.1,0.0,smithdr01,MIA,2023
Jamaree Bouyea,PG,65,-4.9,1.9,0.0,bouyeja01,MIA,2023
