Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
P.J. Washington,PF,2380,-1.0,-0.3,0.4,washipj01,CHO,2023
Terry Rozier,SG,2221,0.6,-1.1,0.8,roziete01,CHO,2023
Mason Plumlee,C,1597,1.5,0.9,1.8,plumlma01,CHO,2023
Gordon Hayward,SF,1577,-1.1,-0.3,0.2,haywago01,CHO,2023
Kelly Oubre Jr.,SF,1548,-0.4,-0.7,0.3,oubreke01,CHO,2023
Jalen McDaniels,SF,1494,-2.7,0.7,0.0,mcdanja01,CHO,2023
Dennis Smith Jr.,PG,1390,-3.5,1.2,-0.1,smithde03,CHO,2023
LaMelo Ball,PG,1268,3.2,-0.8,1.4,ballla01,CHO,2023
Nick Richards,C,1217,-1.0,-0.2,0.2,richani01,CHO,2023
JT Thor,PF,969,-4.3,-0.4,-0.7,thorjt01,CHO,2023
Théo Maledon,PG,854,-3.0,0.5,-0.1,maledth01,CHO,2023
Mark Williams,C,828,-0.5,0.6,0.4,willima07,CHO,2023
Bryce McGowens,SG,787,-4.6,-1.4,-0.8,mcgowbr01,CHO,2023
Kai Jones,C,550,-4.8,0.8,-0.3,joneska01,CHO,2023
James Bouknight,SG,515,-5.4,-1.1,-0.6,bouknja01,CHO,2023
Svi Mykhailiuk,SF,428,0.3,-0.8,0.2,mykhasv01,CHO,2023
Cody Martin,SF,134,-3.8,-0.8,-0.1,martico01,CHO,2023
Xavier Sneed,SF,48,-3.1,-0.4,0.0,sneedxa01,CHO,2023
Kobi Simmons,SG,28,-1.0,0.1,0.0,simmoko01,CHO,2023
