Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Franz Wagner,SF,2609,0.4,-0.5,1.3,wagnefr01,ORL,2023
Paolo Banchero,PF,2430,-0.7,-0.7,0.3,banchpa01,ORL,2023
Markelle Fultz,PG,1778,-0.1,0.7,1.2,fultzma01,ORL,2023
Wendell Carter Jr.,C,1690,0.9,0.1,1.3,cartewe01,ORL,2023
Cole Anthony,PG,1552,0.7,0.5,1.3,anthoco01,ORL,2023
Bol Bol,PF,1505,-1.8,0.9,0.4,bolbo01,ORL,2023
Jalen Suggs,SG,1246,-1.8,0.8,0.3,suggsja01,ORL,2023
Gary Harris,SG,1184,-1.4,0.7,0.4,harriga01,ORL,2023
Moritz Wagner,C,1109,0.4,0.2,0.7,wagnemo01,ORL,2023
Terrence Ross,SG,944,-2.7,-0.4,-0.3,rosste01,ORL,2023
Caleb Houstan,SF,812,-3.1,-0.9,-0.4,houstca01,ORL,2023
Mo Bamba,C,681,0.4,0.9,0.6,bambamo01,ORL,2023
Chuma Okeke,SF,518,-2.4,0.8,0.1,okekech01,ORL,2023
Kevon Harris,SG,457,-3.5,-0.1,-0.2,harrike01,ORL,2023
Admiral Schofield,PF,451,-2.2,-0.7,-0.1,schofad01,ORL,2023
R.J. Hampton,SG,361,-1.5,0.3,0.1,hamptrj01,ORL,2023
Goga Bitadze,C,255,0.4,1.0,0.2,bitadgo01,ORL,2023
Jonathan Isaac,PF,124,1.0,3.0,0.2,isaacjo01,ORL,2023
Michael Carter-Williams,PG,44,-5.1,-1.2,0.0,cartemi01,ORL,2023
Jay Scrubb,SG,30,-2.9,1.0,0.0,scrubja01,ORL,2023
