Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Luka Dončić,PG,2391,7.6,1.4,6.6,doncilu01,DAL,2023
Reggie Bullock,SF,2364,-2.3,-0.3,-0.4,bullore01,DAL,2023
Tim Hardaway Jr.,SF,2152,-0.3,-1.5,0.1,hardati02,DAL,2023
Spencer Dinwiddie,SG,1808,2.0,-1.2,1.3,dinwisp01,DAL,2023
Christian Wood,C,1738,1.9,-0.3,1.6,woodch01,DAL,2023
Josh Green,SG,1539,-1.9,-0.6,-0.2,greenjo02,DAL,2023
Dwight Powell,C,1458,-1.2,0.0,0.3,poweldw01,DAL,2023
Dorian Finney-Smith,PF,1288,-0.9,-0.2,0.3,finnedo01,DAL,2023
Maxi Kleber,PF,930,-2.2,0.0,0.0,klebima01,DAL,2023
Kyrie Irving,SG,763,5.3,-0.4,1.3,irvinky01,DAL,2023
Jaden Hardy,SG,708,-0.4,-1.9,0.0,hardyja02,DAL,2023
Frank Ntilikina,SG,607,-6.1,-0.7,-0.7,ntilila01,DAL,2023
Dāvis Bertāns,PF,492,0.0,-1.3,0.1,bertada01,DAL,2023
JaVale McGee,C,355,-3.6,-0.1,-0.1,mcgeeja01,DAL,2023
McKinley Wright IV,PG,335,-1.9,-0.8,-0.1,wrighmc01,DAL,2023
Theo Pinson,SG,323,-2.5,-0.9,-0.1,pinsoth01,DAL,2023
Justin Holiday,SF,295,-4.6,0.5,-0.2,holidju01,DAL,2023
Kemba Walker,PG,144,0.3,-0.6,0.1,walkeke02,DAL,2023
A.J. Lawson,SG,106,-1.5,-3.1,-0.1,lawsoaj01,DAL,2023
Markieff Morris,PF,70,-4.4,-1.4,-0.1,morrima02,DAL,2023
Facundo Campazzo,PG,52,-4.8,3.6,0.0,campafa01,DAL,2023
Tyler Dorsey,SF,8,17.0,0.8,0.0,dorsety01,DAL,2023
Chris Silva,PF,3,-22.5,-0.1,0.0,silvach01,DAL,2023
