Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jaden Ivey,SG,2304,-1.4,-1.9,-0.7,iveyja01,DET,2023
Killian Hayes,PG,2154,-3.3,-0.5,-1.0,hayeski01,DET,2023
Bojan Bogdanović,PF,1893,2.6,-1.8,1.4,bogdabo02,DET,2023
Jalen Duren,C,1670,-0.4,-0.4,0.5,durenja01,DET,2023
Saddiq Bey,SF,1500,0.5,-1.1,0.5,beysa01,DET,2023
Isaiah Stewart,C,1414,-1.0,-1.1,0.0,stewais01,DET,2023
Cory Joseph,PG,1227,-0.7,-0.8,0.2,josepco01,DET,2023
Isaiah Livers,PF,1199,-2.1,-0.3,-0.1,liveris01,DET,2023
Alec Burks,SG,1122,1.8,-0.5,0.9,burksal01,DET,2023
Hamidou Diallo,SF,996,-1.8,0.4,0.1,diallha01,DET,2023
Marvin Bagley III,C,990,0.3,-1.2,0.3,baglema01,DET,2023
James Wiseman,C,605,-2.5,-1.8,-0.4,wisemja01,DET,2023
Kevin Knox,SF,593,-2.1,-0.6,-0.1,knoxke01,DET,2023
Rodney McGruder,SG,524,-0.8,-0.7,0.1,mcgruro01,DET,2023
Cade Cunningham,PG,400,-0.1,-0.6,0.1,cunnica01,DET,2023
R.J. Hampton,SG,389,-3.0,-1.4,-0.2,hamptrj01,DET,2023
Eugene Omoruyi,SF,373,-2.9,-1.2,-0.2,omorueu01,DET,2023
Jared Rhoden,SG,198,-5.0,-1.1,-0.2,rhodeja01,DET,2023
Nerlens Noel,C,152,-5.1,3.1,0.0,noelne01,DET,2023
Buddy Boeheim,SF,90,-7.5,-2.0,-0.2,boehebu01,DET,2023
Braxton Key,SF,9,2.1,0.8,0.0,keybr01,DET,2023
Stanley Umude,SG,2,15.9,32.7,0.0,umudest01,DET,2023
