Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Mikal Bridges,SF,2040,0.4,0.6,1.6,bridgmi01,PHO,2023
Deandre Ayton,C,2035,0.9,0.0,1.5,aytonde01,PHO,2023
Torrey Craig,PF,1948,-1.3,0.7,0.7,craigto01,PHO,2023
Chris Paul,PG,1889,2.0,1.2,2.5,paulch01,PHO,2023
Devin Booker,SG,1835,4.5,-0.3,2.9,bookede01,PHO,2023
Damion Lee,SG,1506,-1.3,-0.4,0.1,leeda03,PHO,2023
Josh Okogie,SG,1350,-0.8,0.5,0.6,okogijo01,PHO,2023
Jock Landale,C,979,-0.7,-0.4,0.2,landajo01,PHO,2023
Cameron Payne,PG,968,-0.5,-0.7,0.2,payneca01,PHO,2023
Ish Wainright,SF,915,-2.7,1.5,0.2,wainris01,PHO,2023
Bismack Biyombo,C,874,-3.4,2.5,0.2,biyombi01,PHO,2023
Landry Shamet,SG,807,-1.1,-0.3,0.1,shamela01,PHO,2023
Dario Šarić,PF,533,-2.3,0.3,0.0,saricda01,PHO,2023
Cameron Johnson,PF,429,3.2,0.6,0.6,johnsca02,PHO,2023
Duane Washington Jr.,SG,394,-1.8,-2.8,-0.3,washidu02,PHO,2023
Terrence Ross,SG,386,0.3,0.2,0.2,rosste01,PHO,2023
Saben Lee,PG,363,-2.7,0.9,0.0,leesa01,PHO,2023
Kevin Durant,PF,269,7.1,0.9,0.7,duranke01,PHO,2023
T.J. Warren,SF,197,-2.5,0.6,0.0,warretj01,PHO,2023
Darius Bazley,C,61,-3.7,3.3,0.0,bazleda01,PHO,2023
