Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Anthony Edwards,SG,2842,1.0,0.0,2.1,edwaran01,MIN,2023
Jaden McDaniels,SF,2416,-1.7,0.5,0.5,mcdanja02,MIN,2023
Rudy Gobert,C,2148,0.0,0.7,1.4,goberru01,MIN,2023
Kyle Anderson,PF,1957,0.2,2.3,2.2,anderky01,MIN,2023
D'Angelo Russell,PG,1778,1.9,-0.7,1.4,russeda01,MIN,2023
Jaylen Nowell,SG,1252,-1.5,-1.0,-0.2,nowelja01,MIN,2023
Naz Reid,C,1251,0.3,0.8,1.0,reidna01,MIN,2023
Taurean Prince,PF,1192,-2.6,-0.6,-0.4,princta02,MIN,2023
Austin Rivers,SG,1016,-3.3,0.5,-0.2,riverau01,MIN,2023
Karl-Anthony Towns,PF,957,2.1,0.9,1.2,townska01,MIN,2023
Mike Conley,PG,753,1.5,0.6,0.7,conlemi01,MIN,2023
Jordan McLaughlin,PG,678,-1.3,0.6,0.2,mclaujo01,MIN,2023
Nickeil Alexander-Walker,SG,356,-2.5,-0.5,-0.1,alexani01,MIN,2023
Nathan Knight,C,291,-2.4,-0.8,-0.1,knighna01,MIN,2023
Bryn Forbes,SG,268,-4.8,-1.5,-0.3,forbebr01,MIN,2023
Luka Garza,C,243,2.2,-2.6,0.1,garzalu01,MIN,2023
Matt Ryan,SF,181,-0.2,-1.6,0.0,ryanma01,MIN,2023
Wendell Moore Jr.,SG,153,-3.8,1.3,0.0,moorewe01,MIN,2023
Josh Minott,SF,96,-1.9,0.4,0.0,minotjo01,MIN,2023
A.J. Lawson,SG,2,-2.3,7.5,0.0,lawsoaj01,MIN,2023
