Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
DeMar DeRozan,SF,2989,2.1,-0.3,2.8,derozde01,CHI,2024
Coby White,PG,2881,0.7,-1.3,0.9,whiteco01,CHI,2024
Nikola Vučević,C,2610,0.8,-0.7,1.4,vucevni01,CHI,2024
Ayo Dosunmu,SG,2212,-0.6,-0.2,0.7,dosunay01,CHI,2024
Alex Caruso,SG,2040,0.2,2.3,2.3,carusal01,CHI,2024
Andre Drummond,C,1351,0.8,-0.7,0.7,drumman01,CHI,2024
Patrick Williams,PF,1174,-2.1,-0.1,-0.1,willipa01,CHI,2024
Torrey Craig,SF,1049,-1.8,-0.2,0.0,craigto01,CHI,2024
Jevon Carter,PG,1004,-3.3,-0.7,-0.5,carteje01,CHI,2024
Zach LaVine,SG,872,0.8,-0.7,0.5,lavinza01,CHI,2024
Dalen Terry,SG,681,-3.4,1.1,0.0,terryda01,CHI,2024
Julian Phillips,SF,323,-4.7,-0.6,-0.3,phillju01,CHI,2024
Onuralp Bitim,SG,268,-5.4,-2.0,-0.4,bitimon01,CHI,2024
Javonte Green,SF,230,1.9,0.1,0.2,greenja02,CHI,2024
Terry Taylor,PF,188,-3.1,-0.1,0.0,taylote01,CHI,2024
Adama Sanogo,PF,66,-0.4,-6.3,-0.1,sanogad01,CHI,2024
Henri Drell,SF,30,-5.1,0.2,0.0,drellhe01,CHI,2024
Andrew Funk,SG,13,-12.4,-2.0,0.0,funkan01,CHI,2024
