Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jarrett Allen,C,2442,2.1,0.9,3.1,allenja01,CLE,2024
Max Strus,SF,2239,-1.1,0.5,0.8,strusma01,CLE,2024
Caris LeVert,SG,1958,-0.6,0.8,1.1,leverca01,CLE,2024
Donovan Mitchell,SG,1942,4.6,1.2,3.9,mitchdo01,CLE,2024
Darius Garland,PG,1901,0.2,-1.2,0.5,garlada01,CLE,2024
Isaac Okoro,SF,1887,-1.8,0.7,0.4,okorois01,CLE,2024
Georges Niang,PF,1831,-2.5,-0.4,-0.4,niangge01,CLE,2024
Evan Mobley,PF,1532,0.9,2.0,1.9,mobleev01,CLE,2024
Dean Wade,PF,1108,-1.7,1.8,0.6,wadede01,CLE,2024
Sam Merrill,SG,1069,1.3,-0.8,0.7,merrisa01,CLE,2024
Craig Porter Jr.,PG,649,-0.6,1.1,0.4,portecr01,CLE,2024
Tristan Thompson,C,549,-2.1,0.6,0.1,thomptr01,CLE,2024
Damian Jones,C,270,-1.7,1.2,0.1,jonesda03,CLE,2024
Marcus Morris,PF,180,-3.2,-1.9,-0.1,morrima03,CLE,2024
Emoni Bates,SF,133,-6.2,-3.0,-0.2,batesem01,CLE,2024
Isaiah Mobley,PF,72,-4.5,-2.1,-0.1,mobleis01,CLE,2024
Pete Nance,PF,27,-11.9,-3.2,-0.1,nancepe01,CLE,2024
Ty Jerome,SG,15,-4.1,-0.8,0.0,jeromty01,CLE,2024
