Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Herbert Jones,SF,2321,-0.9,1.5,1.6,joneshe01,NOP,2024
Zion Williamson,PF,2207,3.3,0.6,3.3,willizi01,NOP,2024
CJ McCollum,PG,2159,3.3,-0.3,2.8,mccolcj01,NOP,2024
Brandon Ingram,SF,2103,1.4,-0.3,1.7,ingrabr01,NOP,2024
Jonas Valančiūnas,C,1925,0.7,0.5,1.6,valanjo01,NOP,2024
Trey Murphy III,SF,1690,2.5,0.0,1.9,murphtr02,NOP,2024
Dyson Daniels,PG,1358,-1.9,2.5,0.9,daniedy01,NOP,2024
Naji Marshall,SF,1257,-1.3,0.5,0.4,marshna01,NOP,2024
Larry Nance Jr.,C,1216,-0.2,2.2,1.2,nancela02,NOP,2024
Jordan Hawkins,SG,1160,-1.3,-1.7,-0.3,hawkijo01,NOP,2024
Jose Alvarado,PG,1028,-1.5,1.5,0.5,alvarjo01,NOP,2024
Matt Ryan,SF,390,-1.4,-1.3,-0.1,ryanma01,NOP,2024
Jeremiah Robinson-Earl,PF,334,-1.9,-0.3,0.0,robinje02,NOP,2024
Cody Zeller,C,320,-2.9,0.3,0.0,zelleco01,NOP,2024
Kira Lewis Jr.,PG,144,-6.4,-1.1,-0.2,lewiski01,NOP,2024
Dereon Seabron,SG,55,-2.7,1.2,0.0,seabrde01,NOP,2024
E.J. Liddell,PF,23,-8.7,4.0,0.0,liddeej01,NOP,2024
Kaiser Gates,SF,7,-18.6,-10.1,-0.1,gateska01,NOP,2024
Jalen Crutcher,PG,3,-18.5,-7.8,0.0,crutcja01,NOP,2024
Izaiah Brockington,PG,3,-9.2,-8.5,0.0,brockiz01,NOP,2024
