Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Scottie Barnes,SG,2094,2.9,0.8,3.0,barnesc01,TOR,2024
Gary Trent Jr.,SG,1994,-1.2,-1.4,-0.3,trentga02,TOR,2024
Dennis Schröder,PG,1559,-0.5,-1.3,0.1,schrode01,TOR,2024
Pascal Siakam,PF,1354,2.2,-0.8,1.2,siakapa01,TOR,2024
Jakob Poeltl,C,1319,-0.3,1.0,0.9,poeltja01,TOR,2024
Gradey Dick,SG,1268,-3.2,-2.2,-1.1,dickgr01,TOR,2024
Immanuel Quickley,PG,1265,1.9,-1.3,0.8,quickim01,TOR,2024
RJ Barrett,SG,1072,1.5,-1.4,0.6,barrerj01,TOR,2024
OG Anunoby,SF,900,-0.8,-0.7,0.1,anunoog01,TOR,2024
Bruce Brown,PG,885,-3.1,-1.4,-0.5,brownbr01,TOR,2024
Kelly Olynyk,C,740,0.0,0.7,0.5,olynyke01,TOR,2024
Chris Boucher,PF,705,-0.3,-1.4,0.1,bouchch01,TOR,2024
Ochai Agbaji,SG,638,-5.0,-1.5,-0.7,agbajoc01,TOR,2024
Jalen McDaniels,SF,538,-7.2,-1.8,-1.0,mcdanja01,TOR,2024
Jordan Nwora,SF,529,-0.8,-1.2,0.0,nworajo01,TOR,2024
Malachi Flynn,PG,474,-2.8,0.0,-0.1,flynnma01,TOR,2024
Precious Achiuwa,C,437,-1.4,-0.2,0.0,achiupr01,TOR,2024
Javon Freeman-Liberty,PG,403,-3.1,-2.0,-0.3,freemja01,TOR,2024
Jontay Porter,PF,360,-0.3,1.9,0.3,portejo01,TOR,2024
Thaddeus Young,PF,350,-0.2,0.9,0.2,youngth01,TOR,2024
Garrett Temple,SG,289,-3.4,-1.2,-0.2,templga01,TOR,2024
Otto Porter Jr.,SF,174,-3.5,0.3,-0.1,porteot01,TOR,2024
Jahmi'us Ramsey,SG,121,-3.9,-0.5,-0.1,ramseja01,TOR,2024
Mouhamadou Gueye,PF,120,-11.0,-0.9,-0.3,gueyemo01,TOR,2024
Malik Williams,C,107,-7.8,-3.7,-0.3,willima11,TOR,2024
Kobi Simmons,PG,67,-2.6,1.6,0.0,simmoko01,TOR,2024
D.J. Carton,SG,36,-4.2,-1.1,0.0,cartodj01,TOR,2024
Markquis Nowell,SG,4,29.1,14.2,0.0,nowelma01,TOR,2024
