Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Shai Gilgeous-Alexander,PG,2553,6.7,2.3,7.1,gilgesh01,OKC,2024
Chet Holmgren,C,2413,1.8,1.5,3.3,holmgch01,OKC,2024
Luguentz Dort,SF,2246,-1.4,-0.2,0.2,dortlu01,OKC,2024
Jalen Williams,PF,2223,2.0,0.3,2.4,willija06,OKC,2024
Josh Giddey,SG,2011,1.0,0.4,1.8,giddejo01,OKC,2024
Cason Wallace,SG,1692,-0.9,1.0,0.9,wallaca01,OKC,2024
Isaiah Joe,SG,1445,1.1,-0.3,1.0,joeis01,OKC,2024
Aaron Wiggins,SG,1228,0.4,0.4,0.8,wiggiaa01,OKC,2024
Kenrich Williams,PF,1029,-1.1,0.3,0.3,willike04,OKC,2024
Jaylin Williams,C,897,-0.8,1.9,0.7,willija07,OKC,2024
Gordon Hayward,SF,447,-2.4,-0.2,-0.1,haywago01,OKC,2024
Ousmane Dieng,PF,365,-2.3,-0.7,-0.1,diengou01,OKC,2024
Vasilije Micić,PG,361,-3.9,-1.4,-0.3,micicva01,OKC,2024
Lindy Waters III,SG,280,2.4,-0.5,0.3,waterli01,OKC,2024
Tre Mann,PG,119,0.4,-0.2,0.1,manntr01,OKC,2024
Olivier Sarr,C,98,-2.6,-0.1,0.0,sarrol01,OKC,2024
Mike Muscala,C,91,-6.4,-1.6,-0.1,muscami01,OKC,2024
Dāvis Bertāns,PF,91,3.2,0.8,0.1,bertada01,OKC,2024
Bismack Biyombo,C,73,-5.4,0.2,-0.1,biyombi01,OKC,2024
Keyontae Johnson,SF,66,-7.5,-2.2,-0.1,johnske08,OKC,2024
Aleksej Pokusevski,PF,60,-7.7,-2.2,-0.1,pokusal01,OKC,2024
Adam Flagler,SG,14,-6.7,-3.9,0.0,flaglad01,OKC,2024
