Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Toumani Camara,PF,2548,-0.9,0.8,1.2,camarto01,POR,2025
Anfernee Simons,SG,2292,1.5,-1.5,1.1,simonan01,POR,2025
Shaedon Sharpe,SG,2252,0.0,-1.3,0.4,sharpsh01,POR,2025
Deni Avdija,SF,2161,1.5,0.6,2.2,avdijde01,POR,2025
Scoot Henderson,PG,1759,-1.4,-0.8,-0.1,hendesc01,POR,2025
Jerami Grant,PF,1524,-1.4,-0.3,0.1,grantje01,POR,2025
Donovan Clingan,C,1324,-1.7,1.4,0.6,clingdo01,POR,2025
Deandre Ayton,C,1206,-0.3,-0.4,0.4,aytonde01,POR,2025
Dalano Banton,PG,1120,-0.6,-0.2,0.3,bantoda01,POR,2025
Kris Murray,SF,1040,-3.1,0.1,-0.3,murrakr01,POR,2025
Jabari Walker,PF,749,-1.2,0.5,0.2,walkeja01,POR,2025
Duop Reath,C,469,0.2,-0.5,0.2,reathdu01,POR,2025
Rayan Rupert,SG,460,-4.1,-0.6,-0.3,ruperra01,POR,2025
Robert Williams,C,351,-0.1,3.2,0.4,williro04,POR,2025
Matisse Thybulle,SG,312,0.0,5.1,0.6,thybuma01,POR,2025
Justin Minaya,SF,101,-7.1,1.7,-0.1,minayju01,POR,2025
Sidy Cissoko,SF,60,-7.7,0.4,-0.1,cissosi01,POR,2025
Bryce McGowens,SG,32,-9.9,-3.8,-0.1,mcgowbr01,POR,2025
Taze Moore,SG,20,-3.9,-0.4,0.0,mooreta02,POR,2025
