Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Jayson Tatum,PF,2624,4.4,0.8,4.8,tatumja01,BOS,2025
Derrick White,SG,2574,2.7,0.8,3.6,whitede01,BOS,2025
Payton Pritchard,PG,2271,3.4,0.2,3.2,pritcpa01,BOS,2025
Jaylen Brown,SF,2158,0.4,-0.4,1.1,brownja02,BOS,2025
Jrue Holiday,PG,1896,-0.3,1.0,1.3,holidjr01,BOS,2025
Al Horford,C,1659,0.1,1.1,1.3,horfoal01,BOS,2025
Sam Hauser,PF,1541,0.9,-0.1,1.1,hausesa01,BOS,2025
Luke Kornet,C,1361,1.6,1.7,1.8,kornelu01,BOS,2025
Kristaps Porziņģis,C,1210,3.5,1.2,2.1,porzikr01,BOS,2025
Neemias Queta,C,863,-1.7,1.0,0.3,quetane01,BOS,2025
Jordan Walsh,PF,403,-4.4,0.5,-0.2,walshjo01,BOS,2025
Baylor Scheierman,SG,384,-2.5,0.8,0.0,scheiba01,BOS,2025
Xavier Tillman Sr.,C,231,-8.4,0.3,-0.4,tillmxa01,BOS,2025
Torrey Craig,SF,201,-3.4,0.7,0.0,craigto01,BOS,2025
Drew Peterson,PF,186,-1.8,1.0,0.1,peterdr01,BOS,2025
Jaden Springer,SG,141,-4.4,4.1,0.1,sprinja01,BOS,2025
JD Davison,PG,93,-5.9,-0.3,-0.1,davisjd01,BOS,2025
Miles Norris,PF,35,-2.3,0.4,0.0,norrimi01,BOS,2025
