Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Keyonte George,PG,2109,-0.2,-2.5,-0.3,georgke01,UTA,2025
Isaiah Collier,PG,1839,-3.8,-1.5,-1.6,colliis01,UTA,2025
Collin Sexton,SG,1758,1.7,-2.3,0.6,sextoco01,UTA,2025
Walker Kessler,C,1740,1.1,0.7,1.7,kesslwa01,UTA,2025
Kyle Filipowski,C,1522,-0.6,-0.3,0.4,filipky01,UTA,2025
Lauri Markkanen,PF,1476,1.8,-2.1,0.7,markkla01,UTA,2025
Brice Sensabaugh,SF,1432,0.4,-1.6,0.3,sensabr01,UTA,2025
Johnny Juzang,SG,1270,-0.9,-1.4,-0.1,juzanjo01,UTA,2025
John Collins,PF,1220,1.4,-0.4,0.9,collijo01,UTA,2025
Cody Williams,SG,1060,-6.1,-1.2,-1.4,willico04,UTA,2025
Jordan Clarkson,SG,962,0.6,-2.1,0.1,clarkjo01,UTA,2025
Svi Mykhailiuk,SF,760,-1.4,-2.1,-0.3,mykhasv01,UTA,2025
Micah Potter,C,705,-2.9,-0.6,-0.3,pottemi01,UTA,2025
Drew Eubanks,C,568,-0.9,0.9,0.3,eubandr01,UTA,2025
KJ Martin,SF,432,-4.6,-1.1,-0.4,martike04,UTA,2025
Patty Mills,PG,260,-4.5,0.0,-0.2,millspa02,UTA,2025
Oscar Tshiebwe,C,255,0.6,-2.0,0.0,tshieos01,UTA,2025
Jaden Springer,PG,224,-4.3,0.0,-0.1,sprinja01,UTA,2025
Elijah Harkless,SG,138,-5.2,1.5,-0.1,harklej01,UTA,2025
Taylor Hendricks,PF,75,-4.8,1.3,0.0,hendrta01,UTA,2025
