Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
DeMar DeRozan,SF,2768,1.2,-1.2,1.3,derozde01,SAC,2025
Keegan Murray,PF,2610,-0.8,-0.8,0.2,murrake02,SAC,2025
Domantas Sabonis,C,2429,4.2,1.1,4.4,sabondo01,SAC,2025
Malik Monk,SG,2054,0.3,-1.1,0.6,monkma01,SAC,2025
Keon Ellis,SG,1948,-0.1,2.0,1.9,elliske01,SAC,2025
De'Aaron Fox,PG,1663,2.0,-0.8,1.3,foxde01,SAC,2025
Trey Lyles,PF,1349,-0.4,-0.3,0.4,lylestr01,SAC,2025
Zach LaVine,SG,1170,1.8,-2.3,0.5,lavinza01,SAC,2025
Kevin Huerter,SG,899,-2.3,0.0,-0.1,huertke01,SAC,2025
Jonas Valančiūnas,C,541,0.6,0.5,0.4,valanjo01,SAC,2025
Devin Carter,PG,396,-3.5,0.3,-0.1,cartede02,SAC,2025
Jake LaRavia,PF,367,-2.5,-0.2,-0.1,laravja01,SAC,2025
Doug McDermott,SF,342,-0.8,-2.4,-0.1,mcderdo01,SAC,2025
Isaac Jones,PF,304,-0.9,-0.8,0.0,jonesis01,SAC,2025
Alex Len,C,258,-2.1,2.4,0.2,lenal01,SAC,2025
Jordan McLaughlin,PG,190,-3.9,0.4,-0.1,mclaujo01,SAC,2025
Markelle Fultz,PG,184,-4.5,-0.2,-0.1,fultzma01,SAC,2025
Colby Jones,SG,130,-3.9,1.2,0.0,jonesco02,SAC,2025
Jae Crowder,PF,103,-3.8,-0.5,-0.1,crowdja01,SAC,2025
Orlando Robinson,C,57,-4.1,1.3,0.0,robinor01,SAC,2025
Isaiah Crawford,SF,46,-3.4,-0.7,0.0,crawfis01,SAC,2025
Mason Jones,SG,45,3.5,-0.6,0.1,jonesma05,SAC,2025
Skal Labissière,PF,12,3.3,-1.3,0.0,labissk01,SAC,2025
Terence Davis,SG,8,-12.8,-4.1,0.0,daviste02,SAC,2025
Terry Taylor,PF,6,3.2,0.1,0.0,taylote01,SAC,2025
