Player,Pos,MP,OBPM,DBPM,VORP,Player-additional,Team,Year
Pascal Siakam,PF,2548,2.2,-0.5,2.4,siakapa01,IND,2025
Tyrese Haliburton,PG,2451,5.7,0.2,4.9,halibty01,IND,2025
Myles Turner,C,2174,0.0,0.4,1.3,turnemy01,IND,2025
Bennedict Mathurin,SF,2149,-1.3,-1.5,-0.5,mathube01,IND,2025
Andrew Nembhard,SG,1881,-2.6,0.3,-0.1,nembhan01,IND,2025
Obi Toppin,PF,1545,1.8,-0.1,1.4,toppiob01,IND,2025
T.J. McConnell,PG,1415,0.6,0.6,1.2,mccontj01,IND,2025
Ben Sheppard,SG,1228,-2.2,0.2,0.0,sheppbe01,IND,2025
Jarace Walker,PF,1187,-1.8,0.8,0.3,walkeja02,IND,2025
Aaron Nesmith,SF,1123,0.0,-0.5,0.4,nesmiaa01,IND,2025
Thomas Bryant,C,848,0.9,-0.2,0.6,bryanth01,IND,2025
Quenton Jackson,PG,381,-1.2,0.8,0.2,jacksqu01,IND,2025
Johnny Furphy,SG,379,-3.0,0.6,0.0,furphjo01,IND,2025
Enrique Freeman,PF,181,-4.9,-1.4,-0.2,freemen01,IND,2025
Tony Bradley,C,113,1.5,-0.3,0.1,bradlto01,IND,2025
Isaiah Jackson,C,84,-1.0,1.8,0.1,jacksis01,IND,2025
RayJ Dennis,PG,70,-2.2,3.0,0.0,dennira01,IND,2025
Moses Brown,C,46,-3.9,-1.4,0.0,brownmo01,IND,2025
James Johnson,PF,37,-9.6,-0.2,-0.1,johnsja01,IND,2025
Tristen Newton,SG,8,-21.9,-10.8,-0.1,newtotr01,IND,2025
James Wiseman,C,5,6.0,-4.4,0.0,wisemja01,IND,2025
Jahlil Okafor,C,3,2.5,4.9,0.0,okafoja01,IND,2025
