Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year,Salary
Precious Achiuwa,achiupr01,MIA,737,-3.6,-0.5,-0.4,PF,2021,2582160.0
Precious Achiuwa,achiupr01,TOR,1725,-2.0,-0.6,-0.2,C,2022,2711280.0
Precious Achiuwa,achiupr01,TOR,1140,-1.4,-0.8,-0.1,C,2023,2840160.0
Precious Achiuwa,achiupr01,NYK,1187,-1.9,0.5,0.2,PF,2024,4379527.0
Precious Achiuwa,achiupr01,NYK,1170,-2.1,0.2,0.0,C,2025,6000000.0
Jaylen Adams,adamsja01,MIL,18,-15.1,-4.6,-0.1,PG,2021,1416852.0
Steven Adams,adamsst01,NOP,1605,-0.4,0.1,0.7,C,2021,29592696.0
Steven Adams,adamsst01,MEM,1999,1.0,1.0,2.0,C,2022,17073171.0
Steven Adams,adamsst01,MEM,1133,-0.3,0.9,0.7,C,2023,17926829.0
Steven Adams,adamsst01,HOU,794,0.0,0.3,0.5,C,2025,12600000.0
Bam Adebayo,adebaba01,MIA,2143,2.9,2.0,3.7,C,2021,5115492.0
Bam Adebayo,adebaba01,MIA,1825,1.7,2.1,2.7,C,2022,28103500.0
Bam Adebayo,adebaba01,MIA,2598,0.8,0.8,2.3,C,2023,30351780.0
Bam Adebayo,adebaba01,MIA,2416,0.8,1.7,2.7,C,2024,32600060.0
Bam Adebayo,adebaba01,MIA,2674,1.0,1.0,2.7,C,2025,34848340.0
Ochai Agbaji,agbajoc01,UTA,1209,-1.7,-1.4,-0.3,SG,2023,3918360.0
Ochai Agbaji,agbajoc01,UTA,1003,-2.5,-0.5,-0.3,SG,2024,4114200.0
Ochai Agbaji,agbajoc01,TOR,1739,-0.9,0.2,0.5,SG,2025,4310280.0
Santi Aldama,aldamsa01,MEM,360,-4.2,-1.5,-0.3,PF,2022,1994520.0
Santi Aldama,aldamsa01,MEM,1682,-0.3,0.8,1.1,PF,2023,2094240.0
Santi Aldama,aldamsa01,MEM,1618,-0.7,0.4,0.7,PF,2024,2194200.0
Santi Aldama,aldamsa01,MEM,1660,2.5,0.7,2.2,PF,2025,3960531.0
LaMarcus Aldridge,aldrila01,SAS,544,-0.2,-0.7,0.2,C,2021,24000000.0
LaMarcus Aldridge,aldrila01,BRK,1050,1.3,-0.6,0.7,C,2022,1669178.0
Nickeil Alexander-Walker,alexani01,NOP,1007,-1.4,0.1,0.2,SG,2021,3113160.0
Nickeil Alexander-Walker,alexani01,NOP,1317,-1.7,-1.3,-0.3,SG,2022,3261480.0
Nickeil Alexander-Walker,alexani01,UTA,528,-0.6,1.1,0.3,SG,2023,5009633.0
Nickeil Alexander-Walker,alexani01,MIN,1921,-1.1,1.3,1.1,SG,2024,4687500.0
Nickeil Alexander-Walker,alexani01,MIN,2073,-0.8,0.4,0.8,SG,2025,4312500.0
Grayson Allen,allengr01,MEM,1259,-0.2,0.1,0.6,SG,2021,2545320.0
Grayson Allen,allengr01,MIL,1805,0.6,-0.2,1.1,SG,2022,4054695.0
