Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
Russell Westbrook,westbru01,WAS,2369,2.6,1.1,3.4,PG,2021
Bradley Beal,bealbr01,WAS,2147,4.8,-1.4,2.9,SG,2021
Rui Hachimura,hachiru01,WAS,1797,-2.2,-1.0,-0.5,PF,2021
Dāvis Bertāns,bertada01,WAS,1464,0.3,-1.1,0.4,PF,2021
Raul Neto,netora01,WAS,1403,-1.4,0.9,0.5,PG,2021
Robin Lopez,lopezro01,WAS,1354,0.2,-1.2,0.4,C,2021
Deni Avdija,avdijde01,WAS,1257,-3.6,0.4,-0.4,SF,2021
Garrison Mathews,mathega01,WAS,1038,-1.7,-0.1,0.1,SG,2021
Ish Smith,smithis01,WAS,924,-2.1,0.5,0.1,PG,2021
Alex Len,lenal01,WAS,903,-0.7,0.9,0.5,C,2021
Isaac Bonga,bongais01,WAS,432,-5.8,0.0,-0.4,SF,2021
Daniel Gafford,gaffoda01,WAS,408,2.5,1.6,0.6,C,2021
Moritz Wagner,wagnemo01,WAS,375,-1.5,1.3,0.2,C,2021
Jerome Robinson,robinje01,WAS,305,-6.9,-0.1,-0.4,SG,2021
Troy Brown Jr.,browntr01,WAS,287,-4.2,-1.3,-0.3,SF,2021
Chandler Hutchison,hutchch01,WAS,282,-4.9,0.3,-0.2,SF,2021
Thomas Bryant,bryanth01,WAS,271,1.4,-0.6,0.2,C,2021
Anthony Gill,gillan01,WAS,218,-1.6,0.3,0.0,PF,2021
Cassius Winston,winstca01,WAS,98,-2.1,-1.1,0.0,PG,2021
Jordan Bell,belljo01,WAS,67,-5.4,-0.3,-0.1,C,2021
Anžejs Pasečņiks,pasecan01,WAS,6,-40.7,-5.9,-0.1,C,2021
Andrew Wiggins,wiggian01,GSW,2364,0.0,-0.4,1.0,PF,2021
Stephen Curry,curryst01,GSW,2152,8.3,0.4,5.8,PG,2021
Draymond Green,greendr01,GSW,1982,-1.6,3.3,1.9,PF,2021
Kelly Oubre Jr.,oubreke01,GSW,1687,-1.4,-0.5,0.0,SF,2021
Kent Bazemore,bazemke01,GSW,1333,-2.9,1.7,0.2,SF,2021
Kevon Looney,looneke01,GSW,1161,-1.8,1.0,0.3,C,2021
Juan Toscano-Anderson,toscaju01,GSW,1107,-1.4,2.2,0.8,SG,2021
Damion Lee,leeda03,GSW,1079,-0.7,0.9,0.6,SG,2021
Jordan Poole,poolejo01,GSW,988,0.7,-1.2,0.4,SG,2021
James Wiseman,wisemja01,GSW,836,-4.0,-1.0,-0.6,C,2021
Mychal Mulder,muldemy01,GSW,766,-0.6,-1.2,0.0,PG,2021
Eric Paschall,pascher01,GSW,695,-1.8,-0.9,-0.1,PF,2021
Brad Wanamaker,wanambr01,GSW,625,-4.4,0.9,-0.2,PG,2021
Nico Mannion,mannini01,GSW,364,-3.4,-0.5,-0.2,PG,2021
Alen Smailagić,smailal01,GSW,84,-4.9,-0.4,-0.1,PF,2021
Gary Payton II,paytoga02,GSW,40,1.0,8.2,0.1,PG,2021
Marquese Chriss,chrisma01,GSW,27,-2.4,0.3,0.0,PF,2021
Jordan Bell,belljo01,GSW,15,-8.3,1.7,0.0,C,2021
Anthony Edwards,edwaran01,MIN,2314,-0.4,-1.7,-0.1,SG,2021
Ricky Rubio,rubiori01,MIN,1772,-1.9,0.0,0.0,PG,2021
Karl-Anthony Towns,townska01,MIN,1689,4.3,0.2,2.8,C,2021
Jaden McDaniels,mcdanja02,MIN,1511,-3.3,-0.2,-0.6,PF,2021
Naz Reid,reidna01,MIN,1347,-0.1,-0.2,0.6,C,2021
Malik Beasley,beaslma01,MIN,1214,1.6,-1.8,0.6,SG,2021
Josh Okogie,okogijo01,MIN,1197,-3.7,0.3,-0.4,SG,2021
D'Angelo Russell,russeda01,MIN,1196,3.3,-1.7,1.1,PG,2021
Jarred Vanderbilt,vandeja01,MIN,1139,-1.4,1.4,0.5,PF,2021
Jordan McLaughlin,mclaujo01,MIN,938,-2.0,0.2,0.1,PG,2021
