Player,Player-additional,Tm,Salary,Year
Stephen Curry,curryst01,GSW,43006362,2021
Russell Westbrook,westbru01,WAS,41358814,2021
Chris Paul,paulch01,PHO,41358814,2021
James Harden,hardeja01,BRK,41254920,2021
John Wall,walljo01,HOU,41254920,2021
Kevin Durant,duranke01,BRK,40108950,2021
LeBron James,jamesle01,LAL,39219565,2021
Paul George,georgpa01,LAC,35450412,2021
Klay Thompson,thompkl01,DAL,35361360,2021
Mike Conley,conlemi01,UTA,34502130,2021
Jimmy Butler,butleji01,MIA,34379100,2021
Kawhi Leonard,leonaka01,LAC,34379100,2021
Kemba Walker,walkeke02,BOS,34379100,2021
Tobias Harris,harrito02,PHI,34358850,2021
Khris Middleton,middlkh01,MIL,33051724,2021
Anthony Davis,davisan02,LAL,32742000,2021
Kyrie Irving,irvinky01,BRK,31742000,2021
Damian Lillard,lillada01,POR,31626953,2021
Kevin Love,loveke01,CLE,31258256,2021
Ben Simmons,simmobe01,PHI,30559200,2021
Pascal Siakam,siakapa01,TOR,30559200,2021
Kyle Lowry,lowryky01,TOR,30500000,2021
Steven Adams,adamsst01,NOP,29592696,2021
Joel Embiid,embiijo01,PHI,29542010,2021
Andrew Wiggins,wiggian01,GSW,29542010,2021
Nikola Jokić,jokicni01,DEN,29542010,2021
Devin Booker,bookede01,PHO,29467800,2021
Karl-Anthony Towns,townska01,MIN,29467800,2021
Kristaps Porziņģis,porzikr01,DAL,29467800,2021
CJ McCollum,mccolcj01,POR,29354152,2021
Bradley Beal,bealbr01,WAS,28751775,2021
D'Angelo Russell,russeda01,MIN,28649250,2021
Gordon Hayward,haywago01,CHO,28500000,2021
Otto Porter Jr.,porteot01,ORL,28489237,2021
DeMar DeRozan,derozde01,SAS,27739975,2021
Giannis Antetokounmpo,antetgi01,MIL,27528090,2021
Rudy Gobert,goberru01,UTA,27525281,2021
Al Horford,horfoal01,OKC,27500000,2021
Jamal Murray,murraja01,DEN,27285000,2021
Brandon Ingram,ingrabr01,NOP,27285000,2021
Jrue Holiday,holidjr01,MIL,26231111,2021
Nikola Vučević,vucevni01,CHI,26000000,2021
Buddy Hield,hieldbu01,SAC,24701834,2021
LaMarcus Aldridge,aldrila01,BRK,24000000,2021
Jaylen Brown,brownja02,BOS,23735118,2021
Draymond Green,greendr01,GSW,22246956,2021
Harrison Barnes,barneha02,SAC,22215909,2021
Fred VanVleet,vanvlfr01,TOR,21250000,2021
Victor Oladipo,oladivi01,MIA,21000000,2021
Malcolm Brogdon,brogdma01,IND,20700000,2021
Domantas Sabonis,sabondo01,IND,19800000,2021
Gary Harris,harriga01,ORL,19610714,2021
Danilo Gallinari,gallida01,ATL,19500000,2021
Zach LaVine,lavinza01,CHI,19500000,2021
Jerami Grant,grantje01,DET,19050000,2021
Tim Hardaway Jr.,hardati02,DAL,18975000,2021
Julius Randle,randlju01,NYK,18900000,2021
Terry Rozier,roziete01,CHO,18900000,2021
Aaron Gordon,gordoaa01,DEN,18136364,2021
Goran Dragić,dragigo01,MIA,18000000,2021
