Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tobias Harris,28,PF,62,62,2014,20.0,.597,.225,.221,3.5,19.2,11.4,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,.170,2.9,0.8,3.7,2.9,,harrito02
2,Danny Green,33,SF,69,69,1934,12.1,.582,.794,.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,1.6,3.1,4.6,.115,0.4,1.5,1.9,1.9,,greenda02
3,Ben Simmons,24,PG,58,58,1877,18.3,.584,.017,.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,2.7,3.3,6.0,.153,0.7,2.2,2.9,2.3,MVP-12DPOY-2ASDEF1,simmobe01
4,Seth Curry,30,SG,57,57,1638,12.9,.607,.507,.139,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,2.3,1.7,4.0,.118,0.1,-0.4,-0.3,0.7,,curryse01
5,Joel Embiid,26,C,51,51,1585,30.3,.636,.171,.610,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,.266,6.3,1.2,7.5,3.8,MVP-2DPOY-7ASNBA2DEF2,embiijo01
6,Shake Milton,24,SG,63,4,1461,14.6,.549,.304,.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,1.1,1.6,2.8,.091,-0.7,-1.0,-1.6,0.1,6MOY-12,miltosh01
7,Matisse Thybulle,23,SG,65,8,1298,10.1,.508,.588,.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.1,2.7,2.8,.102,-2.6,4.5,1.9,1.3,DPOY-11DEF2,thybuma01
8,Dwight Howard,35,C,69,6,1196,17.8,.610,.066,.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,1.3,2.6,4.0,.159,-2.1,0.6,-1.5,0.1,,howardw01
9,Furkan Korkmaz,23,SG,55,11,1062,12.8,.544,.634,.193,1.8,9.8,5.9,11.1,2.2,0.8,9.1,20.5,0.6,1.5,2.0,.092,-0.3,0.2,-0.1,0.5,,korkmfu01
10,Tyrese Maxey,20,SG,61,8,935,14.5,.531,.240,.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,0.8,1.1,1.9,.099,-1.0,-0.5,-1.5,0.1,,maxeyty01
11,Mike Scott,32,PF,51,12,852,6.8,.492,.735,.057,1.4,13.8,7.8,6.1,1.4,1.5,8.1,11.9,-0.1,1.1,1.0,.058,-3.2,0.3,-2.8,-0.2,,scottmi01
12,Isaiah Joe,21,SG,41,1,383,9.5,.533,.797,.180,1.8,8.5,5.2,7.2,1.5,0.9,7.1,17.4,0.2,0.4,0.6,.078,-2.0,-1.0,-3.0,-0.1,,joeis01
13,George Hill,34,PG,16,3,303,9.7,.545,.299,.325,3.0,8.6,5.8,13.3,1.8,0.9,17.8,15.2,0.0,0.4,0.4,.065,-3.3,-0.5,-3.9,-0.1,,hillge01
14,Tony Bradley,23,C,20,8,287,21.1,.683,.013,.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,1.0,0.5,1.5,.245,2.3,1.0,3.3,0.4,,bradlto01
15,Paul Reed,21,PF,26,0,177,21.2,.540,.077,.103,19.0,18.9,19.0,11.0,2.7,6.6,12.8,22.7,0.2,0.4,0.6,.162,-1.8,0.8,-1.0,0.0,,reedpa01
16,Dakota Mathias,25,SG,8,2,123,9.8,.474,.542,.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18.1,0.0,0.1,0.2,.061,-1.5,-1.0,-2.6,0.0,,mathida01
17,Anthony Tolliver,35,PF,11,0,99,4.0,.433,.824,.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,-0.1,0.1,0.1,.025,-5.6,-1.5,-7.0,-0.1,,tollian01
18,Rayjon Tucker,23,PG,14,0,68,15.1,.645,.389,1.056,1.6,15.9,8.9,12.2,1.4,0.0,13.2,19.2,0.1,0.1,0.2,.166,-3.0,-0.4,-3.4,0.0,,tuckera01
19,Terrance Ferguson,22,SG,13,0,49,-7.1,.143,.714,.000,0.0,2.2,1.1,4.9,1.0,0.0,36.4,9.7,-0.2,0.0,-0.2,-0.161,-12.1,-2.2,-14.3,-0.2,,fergute01
20,Vincent Poirier,27,C,10,0,39,1.6,.273,.083,.500,17.2,22.2,19.8,6.6,0.0,6.9,21.5,20.6,-0.2,0.1,-0.1,-0.127,-12.3,-2.4,-14.8,-0.1,,poirivi01
21,Mason Jones,22,SG,6,0,27,23.5,.662,.222,.778,12.5,4.0,8.2,16.6,1.8,0.0,7.6,20.8,0.1,0.0,0.2,.270,4.6,0.2,4.8,0.0,,jonesma05
22,Gary Clark,26,PF,2,0,13,3.8,.000,.000,.000,0.0,16.6,8.5,9.0,3.7,0.0,0.0,3.3,0.0,0.0,0.0,.044,-6.5,0.6,-5.9,0.0,,clarkga01
23,Ignas Brazdeikis,22,SF,1,0,8,-12.0,.000,.333,.000,0.0,27.0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,0.0,-0.1,-0.330,-15.2,-6.2,-21.4,0.0,,brazdig01
