Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Damian Lillard,30,PG,67,67,2398,25.6,.623,.528,.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,.209,7.5,-1.3,6.3,5.0,MVP-7ASNBA2,lillada01
2,Robert Covington,30,PF,70,70,2243,11.2,.553,.699,.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,.080,-1.3,1.5,0.2,1.2,,covinro01
3,Enes Freedom,28,C,72,35,1758,22.4,.636,.007,.292,16.8,31.9,24.2,7.2,0.9,2.4,11.0,17.4,5.7,1.7,7.5,.204,2.1,-1.4,0.6,1.2,6MOY-10,kanteen01
4,Carmelo Anthony,36,PF,69,3,1690,14.6,.547,.418,.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,.073,0.2,-1.3,-1.1,0.4,6MOY-7,anthoca01
5,CJ McCollum,29,SG,47,47,1600,20.8,.577,.475,.150,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,4.1,0.6,4.7,.141,5.0,-1.1,3.9,2.4,,mccolcj01
6,Derrick Jones Jr.,23,SF,58,43,1318,11.9,.576,.447,.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,1.6,0.8,2.4,.089,-1.4,0.0,-1.4,0.2,,jonesde02
7,Gary Trent Jr.,22,SG,41,23,1262,12.4,.550,.582,.143,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,1.2,0.3,1.5,.056,-0.1,-1.8,-1.9,0.0,,trentga02
8,Anfernee Simons,21,SG,64,0,1104,12.3,.589,.703,.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,1.5,0.3,1.8,.078,0.6,-1.6,-1.0,0.3,,simonan01
9,Norman Powell,27,SF,27,27,928,14.2,.576,.418,.307,2.6,7.8,5.1,8.1,1.8,1.0,9.5,20.5,1.1,0.4,1.5,.078,-0.5,-0.7,-1.2,0.2,,powelno01
10,Jusuf Nurkić,26,C,37,37,880,20.5,.554,.090,.339,10.2,30.7,20.2,21.4,2.1,4.0,16.0,22.3,1.2,1.2,2.4,.133,0.7,1.8,2.5,1.0,,nurkiju01
11,Rodney Hood,28,SF,38,5,726,5.0,.436,.418,.060,2.6,8.3,5.4,8.5,1.3,0.5,13.1,14.1,-0.7,0.2,-0.5,-0.034,-5.3,-1.5,-6.8,-0.9,,hoodro01
12,Nassir Little,20,PF,48,2,640,11.6,.589,.479,.269,5.2,16.5,10.7,4.9,0.4,1.8,8.8,13.8,0.9,0.2,1.1,.082,-1.1,-1.6,-2.7,-0.1,,littlna01
13,Harry Giles,22,C,38,0,348,12.4,.496,.237,.278,9.3,32.2,20.4,11.3,1.1,3.3,15.5,15.9,0.1,0.4,0.5,.069,-3.2,0.2,-2.9,-0.1,,gilesha01
14,CJ Elleby,20,SF,30,0,192,9.4,.468,.515,.227,6.0,12.0,8.9,7.1,1.5,1.4,6.4,17.4,0.0,0.1,0.1,.032,-4.0,-0.9,-4.9,-0.1,,ellebcj01
15,Rondae Hollis-Jefferson,26,PF,11,1,107,14.4,.539,.056,.889,10.7,15.4,13.0,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,.147,-1.1,1.2,0.1,0.1,,holliro01
16,Keljin Blevins,25,SF,17,0,75,-0.9,.300,.400,.000,4.2,10.3,7.1,6.7,1.3,0.0,20.0,14.3,-0.2,0.0,-0.2,-0.137,-8.3,-2.3,-10.7,-0.2,,blevike01
17,T.J. Leaf,23,PF,7,0,35,11.2,.551,.000,.200,0.0,15.7,7.6,4.0,2.8,2.6,15.5,15.8,0.0,0.0,0.0,.022,-3.9,0.9,-3.0,0.0,,leaftj01
