Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Nicolas Batum,32,SF,67,38,1835,12.9,.617,.660,.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5.0,.132,0.6,1.5,2.1,1.9,,batumni01
2,Paul George,30,SF,54,54,1821,20.5,.598,.437,.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30.0,3.0,2.3,5.3,.139,3.9,0.3,4.2,2.9,ASNBA3,georgpa01
3,Kawhi Leonard,29,SF,52,52,1773,26.0,.622,.280,.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,6.4,2.4,8.8,.238,6.0,1.3,7.3,4.2,MVP-13ASNBA1DEF2,leonaka01
4,Ivica Zubac,23,C,72,33,1609,19.1,.693,.010,.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,.206,0.6,0.4,1.0,1.2,,zubaciv01
5,Reggie Jackson,30,SG,67,43,1544,14.2,.576,.482,.140,1.8,11.9,7.0,19.0,1.3,0.4,10.6,19.9,2.3,1.4,3.7,.115,0.6,-0.2,0.4,0.9,,jacksre01
6,Marcus Morris,31,PF,57,29,1502,14.5,.614,.507,.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,2.1,1.5,3.6,.115,0.9,-0.8,0.0,0.8,,morrima03
7,Terance Mann,24,SG,67,10,1263,13.8,.603,.260,.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,2.4,1.3,3.7,.141,-0.5,0.3,-0.2,0.6,,mannte01
8,Luke Kennard,24,SG,63,17,1232,12.7,.608,.541,.075,1.4,13.0,7.3,11.9,0.9,0.7,10.1,17.1,1.6,1.1,2.7,.105,0.3,-0.5,-0.2,0.6,,kennalu01
9,Serge Ibaka,31,C,41,39,955,18.2,.585,.315,.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,1.7,1.3,3.0,.150,1.2,0.2,1.4,0.8,,ibakase01
10,Lou Williams,34,PG,42,3,918,15.7,.529,.277,.277,1.9,8.7,5.4,23.3,2.1,0.4,12.0,26.5,0.7,0.9,1.6,.084,-0.5,-1.0,-1.5,0.1,,willilo02
11,Patrick Beverley,32,PG,37,34,832,12.0,.580,.641,.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,1.0,1.0,2.1,.119,-0.7,1.4,0.7,0.6,,beverpa01
12,Patrick Patterson,31,PF,38,5,582,10.9,.571,.679,.103,3.8,10.5,7.2,6.7,1.2,1.2,6.0,14.0,0.7,0.5,1.2,.101,-0.4,-0.1,-0.6,0.2,,pattepa01
13,Amir Coffey,23,SG,44,1,394,10.1,.585,.544,.369,2.9,9.4,6.3,7.4,1.3,0.0,11.1,15.1,0.4,0.3,0.7,.085,-1.9,-0.1,-2.0,0.0,,coffeam01
14,Rajon Rondo,34,PG,18,1,368,16.8,.609,.419,.143,4.4,12.2,8.4,38.6,2.4,0.5,26.4,18.2,0.7,0.4,1.1,.148,2.0,0.4,2.3,0.4,,rondora01
15,DeMarcus Cousins,30,C,16,0,207,20.3,.597,.200,.232,12.9,25.9,19.6,12.4,3.1,2.6,19.3,27.7,0.1,0.4,0.5,.119,-0.2,1.9,1.7,0.2,,couside01
16,Daniel Oturu,21,C,30,0,161,12.5,.471,.096,.231,15.1,18.3,16.8,8.5,1.2,3.9,13.6,18.2,0.0,0.2,0.3,.081,-4.1,-1.1,-5.2,-0.1,,oturuda01
17,Yogi Ferrell,27,PG,8,0,96,15.3,.473,.528,.194,2.4,11.4,7.0,23.7,2.1,1.9,0.0,18.0,0.2,0.1,0.3,.154,0.0,0.7,0.7,0.1,,ferreyo01
18,Mfiondu Kabengele,23,PF,23,0,94,1.4,.390,.563,.188,1.2,15.1,8.4,6.9,1.1,2.8,14.8,19.2,-0.3,0.1,-0.1,-0.075,-9.2,-0.9,-10.1,-0.2,,kabenmf01
19,Jay Scrubb,20,SG,4,1,84,6.3,.458,.250,.139,2.8,15.6,9.4,1.7,2.4,0.0,15.5,23.8,-0.2,0.1,-0.1,-0.072,-8.1,-2.8,-10.9,-0.2,,scrubja01
20,Malik Fitts,23,PF,3,0,11,2.9,.500,.667,.000,0.0,29.8,15.3,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,.049,-7.0,-2.1,-9.1,0.0,,fittsma01
