Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Ja Morant,21,PG,63,63,2053,16.7,.537,.252,.389,3.0,10.1,6.5,33.5,1.3,0.6,15.3,27.2,1.6,1.6,3.2,.074,1.3,-1.6,-0.4,0.8,,moranja01
2,Dillon Brooks,25,SF,67,67,1997,12.1,.515,.361,.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,.033,-2.6,-1.1,-3.7,-0.9,,brookdi01
3,Kyle Anderson,27,PF,69,69,1887,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,.143,1.4,1.9,3.3,2.5,,anderky01
4,Jonas Valančiūnas,28,C,62,61,1755,24.4,.636,.077,.273,15.1,31.9,23.4,10.0,1.0,2.9,10.7,22.4,5.1,2.6,7.8,.213,3.2,-0.3,3.0,2.2,,valanjo01
5,Desmond Bane,22,SG,68,17,1519,12.2,.600,.543,.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,.093,-0.6,-0.2,-0.8,0.5,,banede01
6,Brandon Clarke,24,PF,59,16,1415,17.3,.560,.156,.228,7.2,17.5,12.3,9.5,2.0,3.2,5.7,17.2,2.2,2.0,4.2,.142,0.4,1.2,1.5,1.3,,clarkbr01
7,Grayson Allen,25,SG,50,38,1259,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,.101,-0.2,0.1,-0.2,0.6,,allengr01
8,Tyus Jones,24,PG,70,9,1222,15.0,.511,.339,.109,1.8,10.4,6.1,28.6,2.5,0.4,10.0,16.6,1.5,1.3,2.8,.110,-0.1,0.9,0.8,0.9,,jonesty01
9,Xavier Tillman Sr.,22,PF,59,12,1085,14.7,.605,.217,.177,7.2,18.0,12.5,9.4,1.9,2.7,12.3,14.3,1.4,1.5,2.9,.127,-1.3,1.1,-0.2,0.5,,tillmxa01
10,De'Anthony Melton,22,PG,52,1,1045,15.2,.568,.537,.130,3.0,13.4,8.2,17.5,2.7,2.7,13.7,19.5,0.7,1.5,2.2,.103,0.6,1.7,2.3,1.1,,meltode01
11,John Konchar,24,SG,43,0,575,14.8,.608,.406,.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,0.9,0.8,1.7,.145,-0.2,1.4,1.2,0.5,,konchjo01
12,Justise Winslow,24,SF,26,1,507,6.2,.395,.257,.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.2,-6.0,-0.5,,winslju01
13,Gorgui Dieng,31,C,22,1,371,19.2,.682,.444,.398,7.9,20.2,14.0,10.6,2.2,3.4,14.8,17.0,0.9,0.6,1.5,.190,1.8,1.6,3.3,0.5,,dienggo01
14,Jaren Jackson Jr.,21,C,11,4,258,18.0,.551,.480,.336,6.9,18.7,12.7,6.8,2.2,6.3,9.5,25.9,0.2,0.5,0.7,.123,-0.7,0.7,0.1,0.1,,jacksja02
15,Killian Tillie,22,C,18,1,182,8.5,.461,.579,.193,3.5,10.6,7.0,5.6,1.3,4.0,3.1,14.8,0.0,0.2,0.2,.055,-3.4,-0.3,-3.7,-0.1,,tilliki02
16,Sean McDermott,24,SF,18,0,158,7.2,.534,.667,.242,4.0,8.8,6.4,3.1,0.6,1.7,9.9,10.8,0.1,0.1,0.2,.050,-3.1,-1.2,-4.3,-0.1,,mcderse01
17,Tim Frazier,30,PG,5,0,62,-0.5,.177,.400,.300,0.0,13.8,6.8,30.8,1.5,1.5,15.0,18.1,-0.3,0.1,-0.2,-0.169,-10.7,-1.2,-11.9,-0.2,,fraziti01
18,Jontay Porter,21,PF,11,0,54,9.2,.640,.533,.333,7.8,19.9,13.7,2.5,2.7,1.7,28.9,18.9,-0.1,0.1,0.0,.019,-6.8,0.3,-6.5,-0.1,,portejo01
