Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jae'Sean Tate,25,SF,70,58,2043,13.8,.576,.312,.235,6.6,13.2,9.8,13.2,2.0,1.6,12.4,16.4,2.2,1.6,3.8,.088,-1.6,0.3,-1.4,0.3,,tateja01
2,Christian Wood,25,C,41,41,1326,20.0,.591,.322,.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,1.4,1.4,2.8,.100,1.7,-0.3,1.4,1.1,,woodch01
3,John Wall,30,PG,40,40,1288,15.4,.503,.343,.291,1.3,9.7,5.3,36.2,1.5,2.1,14.7,31.7,-1.0,0.8,-0.2,-0.007,1.2,-1.9,-0.7,0.4,,walljo01
4,Sterling Brown,25,SG,51,14,1229,11.1,.597,.642,.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1.0,0.8,1.8,.071,-1.6,0.0,-1.6,0.1,,brownst02
5,KJ Martin,20,SF,45,8,1068,14.6,.590,.302,.264,7.0,17.6,12.1,6.8,1.3,3.4,9.7,15.6,1.3,0.9,2.2,.099,-1.4,-0.4,-1.8,0.0,,martike04
6,P.J. Tucker,35,PF,32,32,959,5.5,.500,.656,.176,3.5,13.3,8.2,6.1,1.4,1.7,19.0,7.7,-0.2,0.6,0.4,.021,-5.3,0.7,-4.6,-0.6,,tuckepj01
7,Danuel House Jr.,27,SF,36,23,932,9.1,.525,.574,.232,2.0,13.6,7.5,10.6,1.0,1.5,10.7,15.3,0.0,0.5,0.5,.026,-2.8,-0.7,-3.5,-0.3,,houseda01
8,Kelly Olynyk,29,PF,27,24,840,22.3,.674,.389,.421,5.2,24.5,14.5,21.9,2.2,1.7,15.7,22.9,2.2,1.0,3.2,.182,2.9,0.9,3.8,1.2,,olynyke01
9,Kevin Porter Jr.,20,SG,26,23,835,12.5,.528,.439,.256,2.4,10.5,6.3,31.2,1.1,0.9,18.2,25.4,-0.3,0.3,0.0,.000,-1.1,-2.4,-3.5,-0.3,,porteke02
10,Eric Gordon,32,SG,27,13,789,14.4,.577,.572,.311,1.0,7.1,3.9,14.6,0.8,1.5,10.9,25.2,0.6,0.2,0.8,.048,0.7,-1.7,-1.0,0.2,,gordoer01
11,David Nwaba,28,SF,30,9,679,14.4,.557,.289,.312,6.0,12.8,9.3,6.9,2.1,2.8,6.4,16.6,0.7,0.6,1.3,.094,-1.4,0.6,-0.8,0.2,,nwabada01
12,Victor Oladipo,28,SG,20,20,669,14.9,.508,.402,.218,1.2,14.5,7.6,25.3,1.7,1.3,10.9,29.8,-0.3,0.5,0.1,.009,-0.3,-1.0,-1.3,0.1,,oladivi01
13,Ben McLemore,27,SG,32,4,537,8.3,.500,.741,.143,2.1,11.4,6.6,7.8,1.8,0.5,10.5,21.1,-0.5,0.3,-0.2,-0.019,-3.4,-1.1,-4.5,-0.3,,mclembe01
