Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Théo Maledon,19,PG,65,49,1778,8.2,.489,.510,.220,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,-1.9,1.1,-0.8,-0.021,-4.0,-1.0,-5.0,-1.3,,maledth01
2,Darius Bazley,20,PF,55,55,1714,9.7,.491,.414,.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1.0,,bazleda01
3,Luguentz Dort,21,SG,52,52,1543,10.1,.513,.515,.257,2.5,10.3,6.4,8.8,1.4,1.1,10.0,21.7,-0.6,1.0,0.3,.011,-2.6,-0.9,-3.5,-0.6,,dortlu01
4,Kenrich Williams,26,PF,66,13,1426,14.0,.599,.285,.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,.096,-1.2,0.5,-0.7,0.4,,willike04
5,Isaiah Roby,22,PF,61,34,1425,11.9,.555,.254,.273,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,-0.3,1.5,1.3,.043,-3.7,0.4,-3.3,-0.5,,robyis01
6,Shai Gilgeous-Alexander,22,SG,35,35,1180,21.6,.623,.301,.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,.143,3.9,0.2,4.1,1.8,,gilgesh01
7,Aleksej Pokusevski,19,PF,45,28,1090,6.1,.430,.507,.103,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-2.9,1.0,-1.9,-0.084,-5.1,-1.0,-6.1,-1.1,,pokusal01
8,Moses Brown,21,C,43,32,920,18.8,.572,.000,.470,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,.138,-1.3,-1.2,-2.4,-0.1,,brownmo01
9,Ty Jerome,23,SG,33,1,788,13.4,.585,.585,.118,1.3,10.8,6.0,23.7,1.2,0.7,13.5,18.8,0.9,0.4,1.3,.079,0.1,-0.8,-0.7,0.3,,jeromty01
10,Al Horford,34,C,28,28,782,17.4,.538,.422,.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,.101,2.0,1.4,3.4,1.1,,horfoal01
11,Hamidou Diallo,22,SG,32,5,761,15.0,.536,.138,.444,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,1.0,.065,-2.1,0.6,-1.5,0.1,,diallha01
12,Svi Mykhailiuk,23,SF,30,9,690,10.6,.531,.505,.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,-0.5,0.5,-0.1,-0.004,-2.2,-1.1,-3.3,-0.2,,mykhasv01
13,Mike Muscala,29,C,35,0,645,14.7,.599,.689,.135,3.0,18.4,10.6,7.0,0.6,1.5,6.9,20.0,0.9,0.4,1.3,.096,0.9,-1.0,-0.1,0.3,,muscami01
14,Justin Jackson,25,SF,33,3,544,10.7,.519,.524,.165,2.6,11.0,6.8,14.5,1.3,0.3,12.0,20.2,-0.1,0.3,0.2,.019,-2.3,-1.0,-3.2,-0.2,,jacksju01
15,Tony Bradley,23,C,22,0,397,20.4,.676,.016,.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,0.8,0.5,1.3,.154,0.4,-0.5,-0.2,0.2,,bradlto01
16,George Hill,34,PG,14,14,369,15.9,.630,.475,.208,2.2,6.0,4.1,18.2,1.5,0.5,8.4,16.5,0.8,0.2,1.0,.129,0.9,0.1,1.0,0.3,,hillge01
17,Josh Hall,20,SF,21,1,336,1.0,.363,.374,.444,1.8,16.6,9.1,11.6,0.6,0.3,17.4,18.1,-1.1,0.2,-0.9,-0.126,-9.7,-2.2,-11.9,-0.8,,halljo01
18,Jaylen Hoard,21,SF,19,0,320,13.4,.547,.125,.466,6.7,14.5,10.6,11.2,1.9,1.4,13.8,16.3,0.2,0.3,0.5,.070,-2.2,-0.3,-2.5,0.0,,hoardja01
19,Gabriel Deck,25,PF,10,0,212,16.1,.548,.224,.328,7.8,11.9,9.8,17.3,1.8,0.0,7.3,16.6,0.4,0.1,0.5,.120,0.0,-0.4,-0.4,0.1,,deckga01
20,Darius Miller,30,SF,18,0,197,15.9,.685,.875,.250,1.0,11.8,6.3,15.4,3.1,2.3,13.1,13.2,0.4,0.2,0.6,.156,0.8,2.7,3.6,0.3,,milleda01
21,Charlie Brown Jr.,23,SG,9,1,152,4.1,.422,.488,.233,2.0,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.4,-1.3,-8.7,-0.3,,brownch02
22,Justin Robinson,23,PG,9,0,88,6.0,.453,.667,.238,1.2,7.2,4.1,14.1,1.6,0.0,7.9,12.2,0.0,0.0,0.0,.021,-5.8,-1.0,-6.8,-0.1,,robinju01
