Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,DeMar DeRozan,32,PF,76,76,2743,23.1,.590,.093,.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,.154,3.4,-0.9,2.5,3.1,MVP-10ASNBA2,derozde01
2,Nikola Vučević,31,C,73,73,2418,18.2,.533,.287,.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,1.4,3.2,4.5,.090,0.8,0.1,0.9,1.8,,vucevni01
3,Zach LaVine,26,SG,67,67,2328,20.0,.605,.401,.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,.120,3.9,-1.5,2.4,2.6,AS,lavinza01
4,Ayo Dosunmu,22,SG,77,40,2110,11.2,.596,.348,.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3.0,.069,-1.9,-0.1,-2.0,0.0,,dosunay01
5,Coby White,21,PG,61,17,1675,12.6,.564,.548,.141,1.1,11.0,6.1,15.0,0.8,0.6,9.3,19.8,1.6,0.8,2.4,.067,-0.4,-1.7,-2.1,0.0,,whiteco01
6,Javonte Green,28,SF,65,45,1519,14.0,.637,.311,.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,.139,-0.6,0.7,0.1,0.8,,greenja02
7,Lonzo Ball,24,PG,35,35,1212,14.5,.575,.679,.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,0.8,1.4,2.2,.088,0.9,1.6,2.5,1.4,,balllo01
8,Alex Caruso,27,SG,41,18,1147,11.7,.528,.492,.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,0.7,1.2,2.0,.082,-2.2,2.3,0.2,0.6,,carusal01
9,Troy Brown Jr.,22,SF,66,7,1055,10.1,.525,.516,.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,0.5,0.9,1.4,.065,-1.7,-0.2,-1.8,0.1,,browntr01
10,Derrick Jones Jr.,24,PF,51,8,899,13.0,.633,.313,.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,1.4,0.8,2.2,.119,-1.5,0.5,-0.9,0.2,,jonesde02
11,Tony Bradley,24,C,55,7,549,14.9,.600,.000,.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,0.6,0.7,1.3,.112,-2.0,0.2,-1.8,0.0,,bradlto01
12,Matt Thomas,27,SG,40,0,459,9.9,.564,.679,.149,0.7,11.5,6.1,5.8,0.9,0.6,5.3,14.5,0.3,0.2,0.6,.058,-1.2,-1.5,-2.6,-0.1,,thomama02
13,Patrick Williams,20,PF,17,9,422,12.7,.637,.284,.402,4.6,13.8,9.2,4.8,1.0,1.8,11.8,14.2,0.6,0.3,0.9,.099,-0.9,-0.7,-1.5,0.0,,willipa01
14,Tristan Thompson,30,C,23,3,376,15.0,.575,.022,.522,12.3,20.3,16.3,5.1,1.6,1.6,9.6,14.7,0.6,0.4,1.0,.126,-0.9,-0.8,-1.7,0.0,,thomptr01
15,Alfonzo McKinnie,29,SF,17,3,206,5.6,.457,.443,.131,7.1,10.9,9.0,3.2,0.5,1.3,9.8,15.3,-0.2,0.1,-0.1,-0.015,-5.6,-3.4,-9.0,-0.4,,mckinal01
16,Tyler Cook,24,PF,20,2,200,13.0,.643,.000,.842,9.1,20.7,14.9,2.0,1.0,1.7,11.8,13.0,0.4,0.2,0.5,.127,-3.0,-1.1,-4.1,-0.1,,cookty01
17,Malcolm Hill,26,SF,16,0,166,11.0,.568,.705,.227,6.1,13.5,9.8,5.6,0.9,1.0,5.8,13.6,0.2,0.1,0.3,.091,-1.5,-1.6,-3.1,0.0,,hillma01
18,Alize Johnson,25,PF,16,0,121,10.2,.537,.087,.304,15.0,18.5,16.7,8.6,1.2,0.0,23.5,12.4,0.1,0.1,0.2,.063,-3.4,-0.6,-4.0,-0.1,,johnsal02
19,Devon Dotson,22,PG,11,0,85,9.8,.538,.391,.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,0.1,0.0,0.1,.048,-3.4,-1.5,-4.9,-0.1,,dotsode01
20,Marko Simonovic,22,C,9,0,35,10.2,.428,.333,.733,16.2,16.0,16.1,0.0,1.4,2.5,9.2,27.5,0.0,0.0,0.0,-0.011,-6.1,-5.0,-11.1,-0.1,,simonma01
21,Mac McClung,23,PG,1,0,3,8.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.4,0.0,0.0,0.0,-0.251,-6.9,-8.4,-15.3,0.0,,mccluma01
22,Jordan Bell,27,C,1,0,2,29.9,,,,56.6,0.0,28.1,0.0,24.4,0.0,,0.0,0.0,0.0,0.0,.600,-8.1,10.8,2.7,0.0,,belljo01
