Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Julius Randle,27,PF,72,72,2544,15.7,.509,.313,.322,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,-0.3,3.4,3.1,.059,0.4,0.2,0.5,1.6,,randlju01
2,RJ Barrett,21,SF,70,70,2417,13.7,.511,.338,.340,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,0.1,2.2,2.3,.046,-0.3,-1.3,-1.6,0.2,,barrerj01
3,Evan Fournier,29,SG,80,80,2358,12.3,.554,.641,.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,.075,-0.4,-0.3,-0.7,0.7,,fournev01
4,Alec Burks,30,SG,81,44,2318,13.7,.559,.534,.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,3.2,2.9,6.1,.126,-0.4,1.2,0.8,1.7,,burksal01
5,Mitchell Robinson,23,C,72,62,1848,20.7,.722,.000,.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,.221,1.0,1.2,2.2,2.0,,robinmi01
6,Immanuel Quickley,22,PG,78,3,1802,14.6,.543,.547,.278,1.8,13.1,7.4,24.5,1.5,0.2,10.9,22.2,2.5,1.8,4.2,.113,0.2,0.0,0.2,1.0,6MOY-10,quickim01
7,Obi Toppin,23,PF,72,10,1230,18.3,.614,.357,.262,5.9,17.7,11.7,10.9,1.0,2.6,9.6,20.8,2.5,1.5,3.9,.153,1.7,0.3,2.0,1.2,,toppiob01
8,Kemba Walker,31,PG,37,37,948,13.9,.537,.538,.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1.0,0.9,1.8,.093,0.7,-0.2,0.4,0.6,,walkeke02
9,Taj Gibson,36,C,52,4,946,12.0,.606,.229,.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,1.4,1.2,2.7,.135,-3.0,1.0,-2.0,0.0,,gibsota01
10,Quentin Grimes,21,SG,46,6,786,10.7,.565,.804,.081,3.2,9.8,6.4,8.5,2.0,1.4,10.3,15.1,0.6,0.9,1.4,.087,-1.2,0.9,-0.3,0.3,,grimequ01
11,Derrick Rose,33,PG,26,4,636,16.9,.541,.336,.113,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,.108,2.3,0.0,2.3,0.7,,rosede01
12,Nerlens Noel,27,C,25,11,562,11.8,.581,.050,.500,9.0,18.1,13.5,5.7,2.7,5.4,21.5,7.3,0.4,1.0,1.5,.128,-3.1,3.3,0.3,0.3,,noelne01
13,Jericho Sims,23,PF,41,5,555,11.6,.674,.000,.537,11.6,21.3,16.4,5.3,1.0,3.9,23.1,6.9,0.7,0.8,1.5,.128,-2.8,1.1,-1.7,0.0,,simsje01
14,Miles McBride,21,PG,40,2,372,6.1,.393,.630,.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,.032,-5.5,1.0,-4.5,-0.2,,mcbrimi01
15,Cam Reddish,22,SF,15,0,215,12.9,.575,.477,.492,2.5,8.2,5.3,7.1,2.8,1.8,14.1,18.8,0.1,0.3,0.4,.092,-2.0,1.2,-0.8,0.1,,reddica01
16,Kevin Knox,22,SF,13,0,111,11.6,.529,.700,.250,7.6,13.8,10.7,4.2,0.9,0.9,10.1,19.5,0.0,0.1,0.1,.062,0.5,-1.9,-1.4,0.0,,knoxke01
17,Ryan Arcidiacono,27,PG,10,0,76,6.1,.667,.750,.000,0.0,11.5,5.7,7.5,0.7,0.0,20.0,8.6,0.0,0.1,0.1,.052,-4.6,0.0,-4.6,-0.1,,arcidry01
18,Damyean Dotson,27,SG,2,0,21,6.4,.500,.250,.000,0.0,10.4,5.1,6.9,0.0,0.0,0.0,8.3,0.0,0.0,0.0,.045,-3.7,-1.2,-4.9,0.0,,dotsoda01
19,Wayne Selden,27,SG,3,0,19,4.3,.434,.500,1.000,0.0,5.8,2.8,7.2,0.0,0.0,0.0,13.3,0.0,0.0,0.0,.016,-4.3,-1.6,-5.9,0.0,,seldewa01
20,Feron Hunt,22,SF,2,0,8,-3.0,.000,.000,.000,13.2,0.0,6.7,16.0,6.3,0.0,33.3,16.4,-0.1,0.0,0.0,-0.234,-12.3,1.0,-11.3,0.0,,huntfe01
21,Danuel House Jr.,28,SF,1,0,3,-13.4,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,-0.342,-12.6,-7.8,-20.4,0.0,,houseda01
22,Matt Mooney,25,SG,1,0,2,-20.0,.000,1.000,.000,0.0,0.0,0.0,0.0,25.0,0.0,50.0,43.8,-0.1,0.0,0.0,-0.915,-33.9,11.5,-22.3,0.0,,moonema01
23,Tyler Hall,24,SG,1,0,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.007,-8.1,-0.5,-8.5,0.0,,hallty01
