Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Royce O'Neale,29,SF,76,53,2409,9.2,.538,.707,.116,2.6,15.0,9.0,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,.057,-1.7,0.6,-1.1,0.5,,onealro01
2,Nic Claxton,23,C,76,76,2271,20.8,.691,.003,.419,9.3,25.1,17.4,9.3,1.4,7.1,12.1,15.4,5.2,4.0,9.2,.195,0.9,2.2,3.1,2.9,DPOY-9,claxtni01
3,Joe Harris,31,SF,74,33,1527,10.6,.621,.757,.064,1.7,10.1,6.0,9.1,1.1,0.7,8.3,14.3,1.5,1.1,2.6,.083,-0.6,-0.6,-1.1,0.3,,harrijo01
4,Kyrie Irving,30,PG,40,40,1478,21.6,.604,.425,.219,3.0,12.3,7.8,24.1,1.4,1.9,9.2,29.7,2.9,1.4,4.3,.140,4.6,-0.8,3.8,2.2,CPOY-12AS,irvinky01
5,Kevin Durant,34,PF,39,39,1403,26.2,.673,.257,.390,1.1,19.4,10.5,25.9,1.1,3.5,13.7,31.5,3.9,1.7,5.7,.194,5.8,1.2,7.0,3.2,AS,duranke01
6,Seth Curry,32,SG,61,7,1211,12.3,.593,.517,.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,.070,-1.2,-0.9,-2.1,0.0,,curryse01
7,Ben Simmons,26,PG,42,33,1105,13.4,.559,.009,.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,.097,-2.2,2.6,0.4,0.7,,simmobe01
8,Cam Thomas,21,SG,57,4,948,14.7,.567,.292,.382,1.0,10.1,5.6,12.7,1.0,0.6,10.6,27.8,0.3,0.7,1.0,.049,-0.7,-2.0,-2.7,-0.2,,thomaca02
9,Yuta Watanabe,28,SF,58,1,928,12.1,.637,.582,.203,3.7,13.1,8.5,7.0,1.3,1.6,8.0,13.1,1.3,0.9,2.1,.111,-0.4,-0.2,-0.6,0.3,,watanyu01
10,Mikal Bridges,26,SG,27,27,923,21.3,.607,.360,.356,2.9,11.7,7.4,12.9,1.4,1.5,7.8,30.3,1.7,0.8,2.5,.133,4.0,-0.8,3.3,1.2,,bridgmi01
11,Spencer Dinwiddie,29,PG,26,26,917,15.8,.523,.419,.346,1.1,11.7,6.6,36.5,1.5,0.7,11.8,22.5,1.2,0.8,2.0,.103,0.7,-0.5,0.2,0.5,,dinwisp01
12,Cameron Johnson,26,PF,25,25,770,16.9,.610,.518,.289,3.0,14.3,8.8,10.0,2.2,0.9,7.4,21.1,1.2,0.9,2.1,.131,1.4,0.6,2.0,0.8,,johnsca02
13,Edmond Sumner,27,SG,53,12,736,14.0,.597,.323,.401,2.0,9.9,6.0,13.3,2.1,1.2,13.6,22.1,0.6,0.7,1.3,.086,-2.4,-0.2,-2.6,-0.1,,sumneed01
14,Dorian Finney-Smith,29,PF,26,26,721,7.7,.466,.634,.099,7.5,12.3,10.0,7.4,1.2,1.9,11.5,13.9,-0.3,0.7,0.4,.027,-3.3,-0.4,-3.7,-0.3,,finnedo01
15,Patty Mills,34,PG,40,2,567,10.6,.554,.641,.144,1.6,7.0,4.4,13.9,1.3,0.5,11.9,19.7,0.0,0.4,0.4,.035,-1.4,-1.7,-3.1,-0.2,,millspa02
