Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Damian Lillard,33,PG,73,73,2579,19.6,.590,.487,.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,.143,3.4,-1.3,2.1,2.7,CPOY-11AS,lillada01
2,Giannis Antetokounmpo,29,PF,73,73,2567,29.9,.649,.091,.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,.246,6.7,2.4,9.0,7.2,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01
3,Brook Lopez,35,C,79,79,2411,14.8,.608,.535,.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,3.1,2.8,5.9,.117,0.2,0.8,1.0,1.8,,lopezbr01
4,Malik Beasley,27,SG,79,77,2337,10.3,.603,.751,.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,.073,-1.0,-0.8,-1.8,0.1,,beaslma01
5,Bobby Portis,28,PF,82,4,2008,17.5,.581,.268,.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,.112,0.0,-0.8,-0.8,0.6,6MOY-3,portibo01
6,Pat Connaughton,31,SF,76,3,1676,9.6,.574,.686,.167,3.4,12.0,7.8,12.0,1.1,1.0,11.6,10.9,1.6,1.2,2.8,.080,-1.6,0.0,-1.6,0.2,,connapa01
7,Khris Middleton,32,SF,55,55,1487,17.0,.595,.384,.187,3.0,15.7,9.5,28.9,1.6,0.9,15.4,23.9,1.9,1.4,3.4,.109,1.1,0.0,1.1,1.2,,middlkh01
8,Jae Crowder,33,PF,50,25,1156,8.9,.546,.615,.133,3.0,12.1,7.6,7.2,1.6,0.7,7.4,11.5,0.6,1.0,1.6,.065,-2.6,0.0,-2.6,-0.2,,crowdja01
9,Cameron Payne,29,PG,47,2,702,12.6,.603,.590,.198,0.8,8.7,4.8,20.7,1.5,0.4,11.4,16.7,1.1,0.5,1.6,.108,-1.0,-0.5,-1.5,0.1,,payneca01
10,A.J. Green,24,SG,56,0,614,10.5,.617,.862,.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,.084,-0.4,-1.7,-2.1,0.0,,greenaj01
11,MarJon Beauchamp,23,SF,48,1,608,9.7,.592,.452,.169,4.1,13.6,8.9,6.7,1.0,1.0,13.2,14.6,0.2,0.5,0.7,.056,-2.3,-0.9,-3.2,-0.2,,beaucma01
12,Andre Jackson Jr.,22,SG,57,8,572,8.5,.596,.460,.110,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10.0,0.5,0.5,1.0,.081,-3.6,0.0,-3.6,-0.2,,jacksan01
13,Patrick Beverley,35,PG,26,8,543,11.4,.524,.522,.196,3.9,14.8,9.5,15.8,1.7,2.0,9.6,13.2,0.5,0.6,1.1,.095,-1.6,1.2,-0.4,0.2,,beverpa01
14,Thanasis Antetokounmpo,31,PF,34,0,155,5.5,.518,.033,.067,5.1,4.2,4.6,13.9,2.2,2.2,31.2,12.5,-0.2,0.1,0.0,-0.010,-6.7,0.3,-6.4,-0.2,,antetth01
15,Danilo Gallinari,35,SF,17,0,155,7.7,.523,.459,.486,4.3,8.3,6.4,9.6,1.9,0.6,18.2,15.3,0.0,0.1,0.1,.025,-5.0,-0.2,-5.2,-0.1,,gallida01
16,Chris Livingston,20,SF,21,0,90,6.9,.547,.227,.182,3.7,21.5,12.8,7.2,1.1,0.0,17.4,13.8,0.0,0.1,0.1,.027,-7.0,-1.0,-8.0,-0.1,,livinch01
17,Robin Lopez,35,C,16,2,65,6.6,.453,.421,.105,5.2,3.3,4.2,7.8,0.7,3.9,9.1,14.5,0.0,0.0,0.0,.007,-4.7,-1.4,-6.1,-0.1,,lopezro01
18,TyTy Washington Jr.,22,PG,11,0,56,4.6,.350,.300,.000,2.0,7.7,4.9,11.4,2.6,0.0,9.1,17.0,-0.1,0.1,-0.1,-0.072,-7.1,-1.0,-8.2,-0.1,,washity02
19,Ryan Rollins,21,PG,3,0,12,18.5,.750,.500,.000,0.0,17.9,9.1,30.9,8.0,0.0,33.3,10.8,0.0,0.0,0.0,.199,0.6,8.5,9.2,0.0,,rolliry01
20,Lindell Wigginton,25,PG,3,0,8,5.6,.510,.400,.400,0.0,0.0,0.0,0.0,0.0,0.0,14.5,37.1,0.0,0.0,0.0,-0.154,-14.6,-9.2,-23.9,0.0,,wiggili01
21,Marques Bolden,25,C,2,0,3,3.0,,,,0.0,71.5,36.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.102,-7.8,2.3,-5.5,0.0,,boldema01
