Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jarrett Allen,25,C,77,77,2442,21.8,.664,.007,.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,.210,2.1,0.9,3.0,3.1,DPOY-10,allenja01
2,Max Strus,27,SF,70,70,2239,11.7,.553,.658,.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,.083,-1.1,0.5,-0.6,0.8,,strusma01
3,Caris LeVert,29,SG,68,10,1958,14.6,.524,.405,.245,2.3,13.7,8.0,25.7,1.9,1.6,11.4,23.1,1.0,2.6,3.6,.088,-0.6,0.8,0.2,1.1,,leverca01
4,Donovan Mitchell,27,SG,55,55,1942,22.1,.595,.454,.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,.159,4.6,1.2,5.8,3.9,AS,mitchdo01
5,Darius Garland,24,PG,57,57,1901,14.5,.560,.423,.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2.0,2.7,.067,0.2,-1.2,-1.0,0.5,,garlada01
6,Isaac Okoro,23,SF,69,42,1887,11.4,.599,.448,.285,4.0,8.2,6.1,9.5,1.5,1.6,9.1,13.9,2.1,2.0,4.2,.106,-1.8,0.7,-1.1,0.4,,okorois01
7,Georges Niang,30,PF,82,10,1831,9.9,.583,.627,.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2.0,2.4,.064,-2.5,-0.4,-2.9,-0.4,,niangge01
8,Evan Mobley,22,PF,50,50,1532,20.1,.626,.107,.310,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,2.8,2.7,5.5,.174,0.9,2.0,2.9,1.9,,mobleev01
9,Dean Wade,27,PF,54,32,1108,10.2,.598,.871,.112,3.8,18.2,11.1,5.0,1.8,2.0,7.6,10.5,0.9,1.6,2.5,.110,-1.7,1.8,0.1,0.6,,wadede01
10,Sam Merrill,27,SG,61,1,1069,13.1,.598,.901,.071,2.3,10.2,6.3,14.1,0.9,0.3,4.5,17.5,1.9,0.9,2.8,.125,1.3,-0.8,0.5,0.7,,merrisa01
11,Craig Porter Jr.,23,PG,51,6,649,15.4,.564,.149,.246,3.7,15.1,9.4,26.5,1.6,2.1,15.1,20.2,0.6,0.9,1.5,.108,-0.6,1.1,0.5,0.4,,portecr01
12,Tristan Thompson,32,C,49,0,549,13.9,.563,.008,.433,15.1,20.4,17.8,12.7,1.1,2.3,16.9,13.8,0.6,0.8,1.4,.119,-2.1,0.6,-1.4,0.1,,thomptr01
13,Damian Jones,28,C,39,0,270,15.8,.659,.194,.292,8.4,17.3,12.9,7.9,1.3,4.3,13.8,15.4,0.4,0.4,0.8,.150,-1.7,1.2,-0.5,0.1,,jonesda03
14,Marcus Morris,34,PF,12,0,180,8.0,.552,.492,.136,3.2,12.3,7.8,7.7,0.5,1.0,15.0,18.0,-0.1,0.2,0.1,.015,-3.2,-1.9,-5.1,-0.1,,morrima03
15,Emoni Bates,20,SF,15,0,133,2.6,.404,.673,.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2,,batesem01
16,Isaiah Mobley,24,PF,10,0,72,8.1,.471,.417,.042,4.7,10.8,7.8,11.5,1.4,0.0,7.6,16.2,0.0,0.1,0.0,.032,-4.5,-2.1,-6.6,-0.1,,mobleis01
17,Pete Nance,23,PF,8,0,27,-3.9,.218,.167,.333,0.0,12.3,6.2,0.0,1.8,0.0,12.7,12.9,-0.1,0.0,-0.1,-0.154,-11.9,-3.2,-15.2,-0.1,,nancepe01
18,Ty Jerome,26,SG,2,0,15,7.6,.500,.250,.000,7.6,0.0,3.7,27.3,0.0,0.0,20.0,14.7,0.0,0.0,0.0,.040,-4.1,-0.8,-4.9,0.0,,jeromty01
