Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Domantas Sabonis,27,C,82,82,2928,23.2,.637,.081,.389,11.0,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4.0,12.6,.206,4.0,2.4,6.5,6.2,MVP-8DPOY-10NBA3,sabondo01
2,De'Aaron Fox,26,PG,74,74,2659,20.1,.567,.374,.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,3.3,3.2,6.5,.117,2.6,0.1,2.7,3.2,CPOY-12,foxde01
3,Keegan Murray,23,SF,77,77,2588,13.3,.569,.524,.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,.096,-0.4,-0.5,-0.9,0.8,,murrake02
4,Harrison Barnes,31,PF,82,82,2381,11.9,.611,.526,.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,.094,-0.6,-1.2,-1.8,0.1,,barneha02
5,Malik Monk,25,SG,72,0,1872,16.0,.564,.474,.230,1.6,11.3,6.3,28.9,1.2,1.9,13.2,25.9,1.9,1.6,3.5,.090,1.5,-1.0,0.6,1.2,CPOY-126MOY-2,monkma01
6,Kevin Huerter,25,SG,64,59,1562,12.4,.564,.609,.084,2.7,13.6,8.0,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,.089,-0.5,-0.4,-0.8,0.5,,huertke01
7,Trey Lyles,28,PF,58,0,1158,11.9,.596,.682,.218,5.8,19.4,12.4,8.1,0.7,1.5,9.7,14.4,1.3,1.0,2.4,.098,-0.4,-0.7,-1.1,0.3,,lylestr01
8,Davion Mitchell,25,PG,72,4,1101,9.3,.555,.489,.130,1.9,7.9,4.8,16.0,0.7,0.2,11.2,14.9,0.8,0.6,1.3,.059,-2.4,-1.0,-3.4,-0.4,,mitchda01
9,Keon Ellis,24,SG,57,21,978,12.0,.627,.724,.151,3.6,10.8,7.1,11.1,2.5,2.7,13.0,12.4,1.1,1.2,2.3,.114,-0.9,2.1,1.2,0.8,,elliske01
10,Chris Duarte,26,SF,59,11,719,8.4,.512,.605,.157,4.0,12.7,8.3,7.8,1.9,1.0,10.4,14.9,0.0,0.7,0.7,.047,-3.5,0.1,-3.4,-0.2,,duartch01
11,Sasha Vezenkov,28,PF,42,0,511,13.3,.569,.628,.079,6.4,14.8,10.5,5.1,1.9,1.3,5.7,17.5,0.5,0.5,1.0,.098,-0.2,-0.7,-0.9,0.1,,vezenal01
12,Alex Len,30,C,48,0,444,14.7,.625,.037,.420,11.3,21.2,16.1,14.4,1.2,6.8,22.0,11.8,0.6,0.7,1.3,.138,-2.7,2.9,0.2,0.2,,lenal01
13,JaVale McGee,36,C,46,0,339,19.0,.609,.053,.341,13.6,28.4,20.8,7.6,2.0,5.4,18.3,23.4,0.1,0.6,0.7,.101,-1.9,0.6,-1.3,0.1,,mcgeeja01
14,Kessler Edwards,23,SF,54,0,275,10.3,.541,.634,.110,3.6,13.7,8.5,7.1,1.8,1.3,4.4,14.0,0.2,0.3,0.5,.083,-1.6,0.1,-1.5,0.0,,edwarke02
15,Colby Jones,21,SG,30,0,192,8.9,.422,.310,.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,-0.2,0.2,0.0,.007,-5.4,0.4,-5.0,-0.1,,jonesco02
16,Juan Toscano-Anderson,30,SF,11,0,53,2.5,.292,.333,.000,8.3,21.6,14.8,9.0,0.9,1.7,14.3,11.3,-0.1,0.1,0.0,-0.024,-8.7,-0.6,-9.4,-0.1,,toscaju01
17,Jalen Slawson,24,SF,12,0,37,6.6,.667,.333,.000,3.0,18.6,10.6,6.9,1.3,2.5,25.0,9.2,0.0,0.0,0.0,.058,-7.5,1.1,-6.4,0.0,,slawsja01
18,Mason Jones,25,SG,5,0,28,5.8,.394,.875,.250,3.9,16.4,10.0,21.7,1.7,0.0,18.4,16.6,0.0,0.0,0.0,-0.018,-5.4,0.0,-5.5,0.0,,jonesma05
19,Jordan Ford,25,PG,6,0,22,16.8,.761,.429,.286,0.0,10.4,5.1,12.8,0.0,0.0,11.3,17.3,0.1,0.0,0.1,.157,3.3,-1.1,2.2,0.0,,fordjo01
20,Filip Petrušev,23,C,2,0,7,5.5,.521,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,.015,-5.5,-3.9,-9.3,0.0,,petrufi01
