Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Jaden Ivey,21,SG,77,61,2217,12.4,.536,.379,.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1.0,0.5,.010,-1.4,-1.7,-3.1,-0.6,,iveyja01
2,Cade Cunningham,22,PG,62,62,2074,17.1,.546,.287,.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,0.7,1.0,1.8,.041,2.0,-1.6,0.3,1.2,,cunnica01
3,Jalen Duren,20,C,61,60,1777,18.7,.653,.007,.321,11.8,33.0,22.2,12.7,0.9,2.3,16.7,18.5,3.0,1.8,4.8,.130,-0.2,0.1,-0.1,0.9,,durenja01
4,Ausar Thompson,21,SF,63,38,1583,12.8,.522,.235,.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,.053,-2.8,0.6,-2.2,-0.1,,thompau01
5,Isaiah Stewart,22,PF,46,45,1423,11.3,.600,.458,.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,.056,-1.6,-0.7,-2.3,-0.1,,stewais01
6,Marcus Sasser,23,PG,71,11,1351,11.8,.542,.469,.129,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,0.3,0.6,0.9,.033,-1.5,-1.1,-2.6,-0.2,,sassema01
7,James Wiseman,22,C,63,6,1091,14.8,.637,.007,.334,11.0,23.5,17.2,7.3,0.5,3.1,15.9,16.3,1.3,0.8,2.1,.094,-2.6,-0.9,-3.5,-0.4,,wisemja01
8,Killian Hayes,22,PG,42,31,1008,10.5,.474,.261,.177,1.2,12.2,6.6,27.8,1.7,1.7,14.3,15.1,0.0,0.7,0.7,.032,-2.9,0.2,-2.7,-0.2,,hayeski01
9,Bojan Bogdanović,34,PF,28,27,921,14.1,.600,.487,.245,1.5,10.0,5.7,12.2,1.2,0.4,11.8,24.7,0.5,0.3,0.8,.042,0.3,-2.5,-2.1,0.0,6MOY-9,bogdabo02
10,Alec Burks,32,SG,43,0,901,15.1,.581,.608,.330,1.9,11.8,6.8,11.2,1.1,1.0,6.4,23.5,1.3,0.4,1.7,.092,1.3,-1.7,-0.4,0.4,,burksal01
11,Kevin Knox,24,SF,31,11,560,9.9,.570,.505,.118,3.5,11.5,7.5,5.9,1.1,1.1,10.1,16.6,0.1,0.2,0.4,.033,-2.8,-1.8,-4.6,-0.4,,knoxke01
12,Evan Fournier,31,SG,29,0,541,8.9,.482,.572,.169,1.0,10.3,5.6,11.7,2.2,1.1,8.5,18.6,-0.3,0.4,0.0,.002,-4.2,0.3,-3.8,-0.3,,fournev01
13,Simone Fontecchio,28,SF,16,9,484,14.4,.613,.532,.137,2.7,13.6,8.1,8.8,1.4,0.9,7.8,19.2,0.6,0.3,0.8,.083,1.0,-0.4,0.6,0.3,,fontesi01
14,Marvin Bagley III,24,C,26,10,478,18.2,.638,.033,.337,10.5,17.1,13.8,9.0,0.5,2.5,12.2,21.1,0.9,0.3,1.1,.112,0.4,-1.6,-1.2,0.1,,baglema01
15,Isaiah Livers,25,PF,23,6,469,5.1,.460,.664,.155,3.5,8.0,5.7,7.0,1.3,0.9,11.4,12.7,-0.3,0.2,-0.1,-0.015,-5.0,-1.5,-6.5,-0.5,,liveris01
16,Troy Brown Jr.,24,SF,22,12,417,5.9,.406,.528,.139,2.9,16.6,9.6,7.8,1.8,0.2,9.5,12.9,-0.5,0.3,-0.2,-0.021,-5.3,-0.2,-5.5,-0.4,,browntr01
17,Chimezie Metu,26,C,14,7,411,12.6,.596,.377,.184,4.5,18.5,11.4,9.3,2.8,1.5,16.9,15.4,0.1,0.4,0.5,.063,-2.7,1.4,-1.3,0.1,,metuch01
18,Malachi Flynn,25,PG,24,0,342,14.4,.528,.461,.230,2.6,11.6,7.0,23.3,2.7,0.5,12.9,26.0,-0.1,0.3,0.2,.023,-1.0,-0.3,-1.3,0.1,,flynnma01
19,Stanley Umude,24,SG,24,2,307,11.4,.647,.631,.381,2.9,15.9,9.3,4.9,1.3,2.0,12.5,15.6,0.3,0.2,0.5,.085,-1.5,-0.1,-1.6,0.0,,umudest01
20,Tosan Evbuomwan,22,SF,13,8,293,10.9,.679,.429,.446,3.7,13.9,8.8,4.6,1.0,1.2,10.7,10.9,0.4,0.1,0.5,.085,-1.9,-0.3,-2.2,0.0,,evbuoto01
21,Jared Rhoden,24,SG,17,0,245,10.3,.597,.470,.121,1.3,13.9,7.5,8.0,0.6,4.5,9.1,13.3,0.1,0.2,0.3,.060,-2.9,0.4,-2.5,0.0,,rhodeja01
