Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Kevin Durant,35,PF,75,75,2791,21.2,.626,.283,.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,.142,4.0,0.1,4.0,4.3,MVP-9ASNBA2,duranke01
2,Grayson Allen,28,SG,75,74,2513,13.8,.679,.652,.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,.132,1.1,0.1,1.3,2.0,,allengr01
3,Devin Booker,27,PG,68,68,2447,21.9,.611,.320,.350,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,.181,4.0,-1.0,3.0,3.1,ASNBA3,bookede01
4,Jusuf Nurkić,29,C,76,76,2078,17.4,.559,.144,.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,2.0,3.8,5.8,.133,-1.0,2.1,1.1,1.6,,nurkiju01
5,Eric Gordon,35,SG,68,24,1893,10.8,.580,.642,.104,1.0,6.0,3.6,10.0,1.7,1.4,10.2,16.5,1.0,1.5,2.5,.063,-1.3,-0.5,-1.7,0.1,,gordoer01
6,Bradley Beal,30,SG,53,53,1767,16.3,.607,.320,.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,.107,0.9,-0.6,0.4,1.1,,bealbr01
7,Drew Eubanks,26,C,75,6,1169,14.4,.645,.012,.368,10.5,20.1,15.6,7.2,1.1,4.6,17.2,13.2,1.6,1.6,3.1,.129,-2.0,0.8,-1.2,0.2,,eubandr01
8,Josh Okogie,25,SG,60,11,960,12.0,.552,.456,.495,9.2,9.0,9.1,8.4,2.4,2.2,12.5,13.0,1.0,1.1,2.1,.104,-1.3,0.8,-0.5,0.4,,okogijo01
9,Royce O'Neale,30,SF,30,8,752,12.3,.555,.734,.061,3.5,19.2,11.7,14.3,1.8,1.8,9.1,13.9,0.8,0.9,1.7,.108,-0.2,1.4,1.3,0.6,,onealro01
10,Keita Bates-Diop,28,SF,39,8,597,11.3,.525,.427,.240,6.0,12.8,9.6,7.4,1.8,3.0,7.3,13.0,0.4,0.7,1.1,.089,-1.5,0.3,-1.2,0.1,,bateske01
11,Jordan Goodwin,25,PG,40,0,558,12.5,.481,.415,.150,8.5,14.8,11.8,18.7,2.0,1.4,12.4,18.2,0.2,0.6,0.8,.072,-1.3,0.4,-0.9,0.2,,goodwjo01
12,Bol Bol,24,PF,43,0,469,18.7,.700,.344,.126,8.1,24.1,16.5,5.3,1.0,4.7,10.7,16.5,1.0,0.7,1.6,.168,1.4,0.8,2.1,0.5,,bolbo01
13,Nassir Little,23,SF,45,2,458,9.9,.572,.565,.161,3.6,14.3,9.3,6.1,1.1,1.9,9.5,13.9,0.3,0.4,0.7,.074,-2.4,-0.6,-3.0,-0.1,,littlna01
14,Chimezie Metu,26,C,37,5,448,13.9,.621,.392,.331,6.4,20.6,13.9,5.8,2.1,1.8,15.3,17.0,0.4,0.6,1.0,.106,-1.6,0.3,-1.3,0.1,,metuch01
15,Yuta Watanabe,29,SF,29,0,382,5.4,.502,.773,.155,3.4,9.6,6.7,3.3,1.2,1.6,13.4,13.6,-0.3,0.3,0.0,.004,-4.6,-1.4,-6.0,-0.4,,watanyu01
16,Saben Lee,24,PG,24,0,185,13.5,.492,.291,.709,5.8,12.8,9.5,21.0,1.8,1.4,10.0,18.8,0.2,0.2,0.4,.099,-2.0,0.6,-1.4,0.0,,leesa01
17,Udoka Azubuike,24,C,16,0,113,12.3,.609,.000,.565,11.6,20.0,16.0,3.6,0.4,4.7,12.2,12.6,0.1,0.1,0.2,.100,-3.0,-0.1,-3.2,0.0,,azubuud01
18,Thaddeus Young,35,PF,10,0,89,15.1,.515,.048,.143,22.8,13.3,17.8,10.4,2.7,2.0,15.2,12.8,0.1,0.1,0.3,.137,-1.5,0.6,-0.9,0.0,,youngth01
19,David Roddy,22,PF,17,0,63,7.9,.469,.348,.043,3.8,15.4,9.9,8.8,1.6,0.0,11.3,18.2,-0.1,0.1,0.0,-0.006,-4.8,-1.0,-5.8,-0.1,,roddyda01
20,Isaiah Thomas,34,PG,6,0,19,6.7,.400,.400,.000,0.0,0.0,0.0,21.9,0.0,0.0,0.0,22.8,0.0,0.0,0.0,-0.030,-1.6,-5.2,-6.9,0.0,,thomais02
21,Ish Wainright,29,SF,4,0,16,5.2,.250,.667,.000,22.3,13.4,17.7,7.6,6.1,0.0,14.3,19.0,0.0,0.0,0.0,-0.042,-7.8,0.3,-7.5,0.0,,wainris01
22,Théo Maledon,22,PG,4,0,13,-8.0,.470,.000,.750,0.0,8.3,4.3,0.0,0.0,0.0,36.1,27.7,-0.1,0.0,-0.1,-0.296,-17.6,-6.1,-23.7,-0.1,,maledth01
