Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Anthony Edwards,22,SG,79,78,2770,19.7,.575,.341,.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,.130,2.7,0.5,3.3,3.7,MVP-7CPOY-8ASNBA2,edwaran01
2,Rudy Gobert,31,C,76,76,2593,19.3,.675,.005,.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,5.8,5.8,11.6,.216,0.1,1.7,1.8,2.5,DPOY-1DEF1,goberru01
3,Mike Conley,36,PG,76,76,2193,15.8,.627,.629,.174,2.0,9.0,5.6,28.4,2.0,0.7,12.8,16.0,5.0,3.3,8.2,.180,2.0,1.4,3.4,3.0,,conlemi01
4,Jaden McDaniels,23,SF,72,71,2105,9.4,.571,.406,.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,.077,-3.3,0.7,-2.6,-0.3,DEF2,mcdanja02
5,Karl-Anthony Towns,28,PF,62,62,2026,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,.148,1.6,0.9,2.5,2.3,AS,townska01
6,Naz Reid,24,PF,81,14,1964,16.0,.595,.479,.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,1.1,3.8,4.9,.120,0.4,1.1,1.5,1.7,6MOY-1,reidna01
7,Nickeil Alexander-Walker,25,SG,82,20,1921,10.9,.578,.623,.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,.107,-1.1,1.3,0.2,1.1,,alexani01
8,Kyle Anderson,30,PF,79,10,1782,12.7,.513,.111,.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,1.4,3.1,4.5,.121,-1.6,2.7,1.1,1.4,,anderky01
9,Jordan McLaughlin,27,PG,56,0,626,15.5,.638,.614,.124,3.4,9.4,6.5,23.7,2.8,1.0,11.1,12.1,1.4,1.1,2.5,.193,1.4,2.9,4.2,1.0,,mclaujo01
10,Shake Milton,27,SG,38,0,491,8.3,.496,.331,.275,1.7,9.7,5.9,14.1,1.6,0.9,13.5,18.7,-0.3,0.7,0.4,.039,-4.8,0.6,-4.2,-0.3,,miltosh01
11,Troy Brown Jr.,24,SF,37,3,410,11.6,.603,.712,.186,4.1,15.4,10.0,11.7,1.0,0.4,12.4,15.7,0.4,0.6,1.0,.118,-0.2,0.5,0.4,0.2,,browntr01
12,Monte Morris,28,PG,27,0,408,13.9,.537,.492,.142,1.5,10.6,6.3,20.4,2.2,1.7,3.8,14.3,0.6,0.7,1.3,.154,-0.2,2.2,2.0,0.4,,morrimo01
13,T.J. Warren,30,SF,11,0,125,9.2,.479,.317,.098,4.8,14.8,10.0,10.1,1.6,0.7,8.6,16.5,0.0,0.2,0.2,.060,-5.0,0.5,-4.5,-0.1,,warretj01
14,Luka Garza,25,C,25,0,122,21.8,.576,.427,.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,0.2,0.2,0.4,.166,0.6,-2.7,-2.1,0.0,,garzalu01
15,Josh Minott,21,SF,32,0,91,20.4,.593,.278,.389,5.2,15.5,10.6,13.2,2.7,4.9,4.5,21.4,0.2,0.2,0.4,.222,1.8,3.3,5.1,0.2,,minotjo01
16,Wendell Moore Jr.,22,SG,25,0,75,8.6,.500,.333,.000,0.0,17.4,9.1,10.9,3.3,1.2,18.2,13.0,-0.1,0.2,0.1,.052,-6.1,3.3,-2.8,0.0,,moorewe01
17,Leonard Miller,20,SF,17,0,52,27.0,.694,.250,.100,11.5,31.3,21.8,25.5,1.9,1.7,4.6,18.6,0.2,0.1,0.3,.323,5.9,3.7,9.6,0.2,,millele01
18,Daishen Nix,21,PG,15,0,50,12.3,.507,.708,.250,2.4,4.3,3.4,17.8,4.9,0.0,15.8,28.0,-0.1,0.1,0.0,.014,-2.8,1.4,-1.4,0.0,,nixda01
19,Justin Jackson,28,SF,2,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.031,-6.3,-1.2,-7.5,0.0,,jacksju01
