Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Stephen Curry,35,PG,74,74,2421,20.6,.616,.606,.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,.142,6.3,-1.1,5.2,4.4,CPOY-1ASNBA3,curryst01
2,Klay Thompson,33,SF,77,63,2284,13.9,.576,.611,.121,1.7,10.2,6.0,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,.075,1.1,-1.5,-0.4,0.9,,thompkl01
3,Brandin Podziemski,20,SG,74,28,1968,13.0,.540,.392,.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2.0,4.1,.100,-0.5,0.4,-0.1,0.9,ROY-5,podzibr01
4,Jonathan Kuminga,21,PF,74,46,1949,17.0,.598,.191,.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,.113,0.0,-0.4,-0.4,0.8,,kuminjo01
5,Andrew Wiggins,28,SF,71,59,1920,12.7,.544,.326,.242,6.2,11.8,9.0,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,.070,-1.4,-1.2,-2.5,-0.3,,wiggian01
6,Chris Paul,38,PG,58,18,1531,14.7,.544,.450,.111,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,2.6,1.7,4.3,.136,-0.2,1.2,1.0,1.2,,paulch01
7,Draymond Green,33,PF,55,52,1490,14.5,.587,.347,.199,5.6,23.0,14.4,28.6,1.8,2.9,25.0,15.3,1.4,2.2,3.6,.116,-0.6,3.0,2.4,1.6,,greendr01
8,Kevon Looney,27,C,74,36,1195,15.1,.620,.004,.356,13.1,24.6,18.9,14.1,1.1,2.2,15.6,11.3,2.5,1.6,4.0,.162,-0.8,1.4,0.6,0.8,,looneke01
9,Moses Moody,21,SG,66,9,1156,13.7,.578,.476,.221,6.2,12.1,9.2,6.7,1.8,1.9,8.7,18.4,1.2,1.2,2.4,.101,-0.2,0.1,-0.1,0.6,,moodymo01
10,Trayce Jackson-Davis,23,PF,68,16,1130,21.6,.692,.003,.398,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,3.2,1.6,4.8,.205,1.5,1.2,2.8,1.4,,jackstr02
11,Dario Šarić,29,C,64,9,1098,15.3,.600,.508,.240,7.3,20.4,13.9,17.8,1.4,0.8,15.4,19.5,1.6,1.2,2.8,.123,0.6,0.4,1.0,0.9,,saricda01
12,Gary Payton II,31,SG,44,0,680,13.9,.621,.301,.126,7.4,10.5,9.0,9.4,2.8,2.4,12.3,13.6,0.9,0.9,1.8,.125,-1.3,2.2,0.9,0.5,,paytoga02
13,Lester Quiñones,23,SG,37,0,394,10.3,.533,.624,.206,5.8,13.8,9.9,12.0,0.7,0.5,10.0,18.3,0.3,0.3,0.6,.068,-2.0,-1.3,-3.3,-0.1,,quinole01
14,Cory Joseph,32,PG,26,0,296,6.2,.470,.656,.109,2.2,8.6,5.5,17.2,0.7,0.9,15.2,11.3,0.0,0.2,0.2,.034,-4.0,-0.7,-4.7,-0.2,,josepco01
15,Gui Santos,21,PF,23,0,192,15.6,.656,.491,.309,9.7,17.7,13.8,9.6,1.0,0.9,10.1,15.2,0.5,0.2,0.7,.169,0.0,-0.5,-0.5,0.1,,santogu01
16,Jerome Robinson,26,SG,22,0,81,5.7,.410,.515,.333,1.4,6.6,4.0,8.0,0.6,3.3,5.0,20.7,-0.1,0.1,-0.1,-0.040,-6.1,-2.2,-8.3,-0.1,,robinje01
17,Pat Spencer,27,PG,6,0,26,9.4,.500,.500,.000,8.4,8.2,8.3,23.3,0.0,0.0,20.0,8.1,0.0,0.0,0.0,.084,-3.4,-3.1,-6.4,0.0,,spencpa01
18,Usman Garuba,21,PF,6,0,18,7.0,.218,.167,.333,18.2,23.7,21.0,6.6,2.7,15.1,22.5,20.8,-0.1,0.0,0.0,-0.124,-10.8,-0.1,-10.9,0.0,,garubus01
