Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyler Herro,25,SG,77,77,2725,19.7,.605,.486,.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,.131,3.8,-0.7,3.1,3.5,AS,herroty01
2,Bam Adebayo,27,C,78,78,2674,18.9,.561,.199,.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,.135,1.0,1.0,2.0,2.7,DPOY-10,adebaba01
3,Haywood Highsmith,28,SF,74,42,1818,9.9,.583,.596,.110,4.4,10.8,7.7,8.4,1.9,2.0,11.6,11.3,1.3,2.1,3.3,.088,-2.7,0.9,-1.9,0.1,,highsha01
4,Duncan Robinson,30,SF,74,37,1785,11.8,.595,.729,.080,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,.071,-0.7,-1.1,-1.7,0.1,,robindu01
5,Terry Rozier,30,PG,64,23,1658,10.5,.497,.485,.170,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,.029,-2.6,-1.0,-3.7,-0.7,,roziete01
6,Kel'el Ware,20,C,64,36,1422,17.4,.603,.239,.144,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2,1.7,2.5,4.1,.140,-0.7,0.6,-0.1,0.7,ROY-6,wareke01
7,Jaime Jaquez Jr.,23,SF,66,17,1368,14.3,.543,.258,.307,6.8,16.5,11.7,17.9,2.2,1.0,15.7,20.2,0.5,1.8,2.3,.081,-1.4,0.5,-0.9,0.4,,jaqueja01
8,Nikola Jović,21,PF,46,10,1156,13.8,.595,.557,.231,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3,1.2,1.3,2.5,.104,-0.3,0.6,0.3,0.7,,jovicni01
9,Davion Mitchell,26,PG,30,15,947,12.9,.611,.405,.203,2.2,7.3,4.8,23.8,2.2,0.8,16.5,14.2,1.3,1.0,2.3,.114,-1.5,0.8,-0.6,0.3,,mitchda01
10,Alec Burks,33,SG,49,14,863,12.8,.608,.764,.181,1.9,13.8,7.9,9.1,1.6,0.8,9.0,16.5,0.9,0.9,1.8,.100,0.0,0.3,0.3,0.5,,burksal01
11,Pelle Larsson,23,SG,55,8,782,10.2,.546,.468,.300,4.0,9.0,6.5,11.6,2.0,0.9,9.5,14.4,0.6,0.8,1.4,.086,-3.8,0.7,-3.1,-0.2,,larsspe01
12,Jimmy Butler,35,PF,25,25,766,22.8,.638,.137,.612,8.0,10.9,9.4,24.2,1.8,1.3,8.2,21.1,2.9,0.8,3.7,.233,4.2,0.6,4.8,1.3,,butleji01
13,Andrew Wiggins,29,SF,17,17,546,16.4,.566,.398,.311,4.7,9.8,7.3,16.5,1.8,3.0,13.1,26.7,0.2,0.6,0.8,.069,0.8,-0.1,0.7,0.4,,wiggian01
14,Kyle Anderson,31,SF,25,1,461,15.3,.557,.134,.284,6.3,16.6,11.5,20.1,1.5,2.7,10.1,16.1,0.7,0.6,1.3,.139,-1.0,1.7,0.6,0.3,,anderky01
15,Dru Smith,27,SG,14,1,268,13.3,.656,.492,.197,5.0,9.8,7.4,12.0,3.9,2.1,20.4,13.8,0.2,0.4,0.7,.118,-1.3,3.4,2.1,0.3,,smithdr01
16,Kevin Love,36,PF,23,9,251,16.2,.488,.583,.200,9.8,31.4,20.7,13.1,3.0,1.5,10.1,24.6,-0.1,0.5,0.4,.083,-0.3,0.7,0.4,0.2,,loveke01
17,Josh Richardson,31,SG,8,0,150,4.4,.402,.579,.105,4.5,4.4,4.4,10.5,2.7,0.6,16.8,14.1,-0.2,0.2,-0.1,-0.021,-7.3,0.6,-6.7,-0.2,,richajo01
18,Thomas Bryant,27,C,10,0,115,15.8,.624,.607,.393,5.8,24.8,15.4,4.8,0.4,7.5,5.7,13.4,0.2,0.2,0.4,.171,-1.1,1.1,0.0,0.1,,bryanth01
19,Keshad Johnson,23,SF,16,0,98,19.1,.718,.269,.346,6.8,24.6,15.8,6.3,2.5,3.9,11.8,15.4,0.2,0.2,0.4,.181,-1.0,0.9,-0.1,0.0,,johnske10
20,Josh Christopher,23,SG,14,0,69,9.4,.416,.355,.194,0.0,14.3,7.2,17.2,3.6,4.2,15.1,25.5,-0.2,0.1,-0.1,-0.073,-7.5,-0.4,-7.9,-0.1,,chrisjo01
21,Isaiah Stevens,24,PG,3,0,6,0.1,.000,.500,.000,0.0,36.5,18.4,0.0,8.3,0.0,0.0,14.8,0.0,0.0,0.0,-0.196,-19.5,7.7,-11.8,0.0,,steveis01
