Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Miles Bridges,26,PF,64,64,2029,17.7,.541,.413,.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28.0,1.3,1.8,3.2,.075,2.3,-0.5,1.8,2.0,,bridgmi02
2,Josh Green,24,SG,68,67,1887,7.8,.559,.589,.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,0.4,1.0,1.5,.037,-4.5,0.2,-4.3,-1.1,,greenjo02
3,LaMelo Ball,23,PG,47,47,1505,19.1,.536,.526,.228,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9,0.9,1.1,2.0,.065,4.1,-0.9,3.2,2.0,,ballla01
4,Nick Smith Jr.,20,SG,60,27,1369,8.3,.502,.539,.081,1.0,9.1,5.0,16.7,0.6,0.4,12.2,20.8,-0.9,0.3,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3,,smithni01
5,Tidjane Salaün,19,PF,60,10,1244,7.7,.457,.594,.272,5.9,18.4,12.0,8.5,1.1,1.1,13.1,15.2,-0.9,0.9,0.0,.002,-4.3,-0.8,-5.2,-1.0,,salauti01
6,Moussa Diabaté,23,C,71,8,1241,16.5,.609,.021,.414,15.7,22.0,18.8,6.8,1.8,3.2,15.6,13.4,1.8,1.5,3.2,.125,-1.4,-0.4,-1.9,0.0,,diabamo01
7,Mark Williams,23,C,44,41,1171,23.9,.647,.009,.365,11.8,29.3,20.3,16.5,1.3,4.5,12.0,21.4,3.1,1.6,4.7,.195,2.5,0.9,3.5,1.6,,willima07
8,DaQuan Jeffries,27,SG,47,20,1071,7.9,.518,.564,.103,3.6,10.0,6.7,7.2,1.2,2.3,10.3,13.5,0.0,0.6,0.6,.027,-4.0,-0.7,-4.7,-0.7,,jeffrda01
9,Seth Curry,34,SG,68,14,1062,12.2,.616,.531,.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,1.3,0.5,1.8,.080,-0.8,-0.9,-1.7,0.1,,curryse01
10,Cody Martin,29,SF,39,8,967,11.7,.528,.463,.183,4.3,15.3,9.7,13.6,2.2,2.6,12.7,14.6,0.3,1.0,1.3,.063,-2.3,1.1,-1.2,0.2,,martico01
11,Brandon Miller,22,SF,27,27,924,14.0,.540,.597,.161,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7,-0.2,0.7,0.4,.023,0.8,-0.8,0.0,0.4,,millebr02
12,KJ Simpson,22,PG,36,15,842,8.3,.437,.432,.166,4.8,9.0,6.9,19.8,2.0,0.7,14.8,19.1,-1.0,0.5,-0.4,-0.025,-4.5,-0.9,-5.4,-0.7,,simpskj01
13,Vasilije Micić,31,PG,36,16,764,6.8,.462,.458,.150,2.7,9.5,6.1,24.8,1.0,0.0,20.3,20.3,-1.1,0.3,-0.9,-0.056,-4.4,-2.4,-6.8,-0.9,,micicva01
14,Grant Williams,26,PF,16,7,479,11.5,.596,.602,.301,3.9,14.5,9.1,11.3,1.8,2.7,16.7,14.8,0.3,0.4,0.7,.071,-2.3,0.7,-1.6,0.1,,willigr01
