Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Austin Reaves,26,SG,73,73,2550,18.1,.616,.512,.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,5.6,2.1,7.6,.144,2.4,-0.5,1.9,2.6,,reaveau01
2,LeBron James,40,SF,70,70,2444,22.7,.604,.312,.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,.152,4.9,0.7,5.6,4.7,MVP-6CPOY-7ASNBA2,jamesle01
3,Rui Hachimura,26,PF,59,57,1869,13.6,.619,.429,.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,.110,-0.1,-0.6,-0.7,0.6,,hachiru01
4,Gabe Vincent,28,PG,72,11,1527,7.4,.536,.736,.050,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5,0.3,1.0,1.3,.039,-3.8,-0.1,-4.0,-0.8,,vincega01
5,Dalton Knecht,23,SF,78,16,1494,12.7,.594,.610,.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1.0,2.7,.086,-0.1,-1.7,-1.8,0.1,,knechda01
6,Anthony Davis,31,C,42,42,1440,27.1,.601,.124,.423,9.6,28.9,19.5,17.1,1.8,5.9,9.4,30.2,3.6,2.6,6.2,.207,4.5,1.5,6.0,2.9,AS,davisan02
7,Dorian Finney-Smith,31,PF,43,20,1239,9.2,.598,.746,.076,4.6,9.5,7.1,6.3,1.6,0.8,11.8,11.5,0.9,0.9,1.8,.070,-1.6,0.1,-1.5,0.2,,finnedo01
8,Max Christie,21,SG,46,25,1154,10.6,.598,.566,.302,2.5,9.3,6.0,7.7,1.5,1.7,10.7,13.9,1.0,0.9,2.0,.081,-1.8,0.0,-1.8,0.0,,chrisma02
9,Jaxson Hayes,24,C,56,35,1093,15.8,.720,.013,.439,8.3,19.1,13.9,7.5,1.4,4.4,13.9,12.4,2.3,1.4,3.7,.162,-1.6,1.3,-0.3,0.5,,hayesja02
10,Luka Dončić,25,PG,28,28,984,23.9,.590,.481,.445,2.8,22.5,12.9,35.6,2.2,1.1,13.5,34.5,2.0,1.4,3.4,.164,5.5,1.1,6.5,2.1,,doncilu01
11,D'Angelo Russell,28,PG,29,10,763,13.0,.537,.540,.170,1.2,10.3,5.9,26.2,1.5,0.5,13.0,22.1,0.4,0.6,1.0,.063,-0.7,-1.0,-1.7,0.1,,russeda01
12,Cam Reddish,25,SF,33,8,589,7.4,.498,.500,.277,3.3,9.1,6.3,4.8,2.8,1.6,10.2,8.8,0.0,0.6,0.7,.054,-4.4,1.6,-2.7,-0.1,,reddica01
13,Jarred Vanderbilt,25,PF,36,2,581,13.2,.537,.264,.298,13.6,21.5,17.6,9.4,3.0,1.6,17.5,12.5,0.5,0.9,1.4,.114,-2.3,1.3,-1.0,0.2,,vandeja01
14,Jordan Goodwin,26,PG,29,5,543,12.1,.541,.472,.076,8.1,14.9,11.6,10.5,2.7,1.9,14.9,14.1,0.2,0.7,1.0,.084,-1.7,0.8,-0.8,0.2,,goodwjo01
15,Shake Milton,28,SG,30,1,345,10.5,.535,.351,.268,5.0,12.1,8.7,15.1,1.4,0.8,15.6,16.3,0.1,0.3,0.4,.055,-3.1,-0.9,-4.0,-0.2,,miltosh01
16,Christian Koloko,24,C,37,0,342,13.0,.624,.061,.212,11.9,18.2,15.1,6.4,1.2,4.4,14.3,10.8,0.5,0.4,0.9,.130,-3.0,0.2,-2.8,-0.1,,kolokch01
17,Trey Jemison,25,C,22,0,226,8.6,.603,.000,.286,11.3,18.9,15.2,3.6,0.4,3.7,22.8,11.9,0.0,0.2,0.3,.057,-6.7,-0.6,-7.3,-0.3,,jemistr01
18,Bronny James,20,SG,27,1,181,7.1,.424,.478,.209,2.6,8.5,5.6,16.5,2.4,1.6,15.1,20.9,-0.3,0.2,-0.2,-0.043,-5.9,-1.3,-7.2,-0.2,,jamesbr02
19,Markieff Morris,35,PF,8,2,124,7.9,.434,.479,.125,2.8,10.6,6.8,19.0,0.4,1.5,5.6,19.0,0.0,0.1,0.0,.016,-3.5,-2.3,-5.8,-0.1,,morrima02
20,Alex Len,31,C,10,4,122,5.3,.463,.136,.182,12.4,16.1,14.3,8.5,0.4,2.3,27.5,11.8,-0.1,0.1,0.0,.002,-7.6,-1.3,-8.9,-0.2,,lenal01
21,Armel Traoré,22,SF,9,0,67,3.5,.317,.368,.368,3.5,21.2,12.6,2.0,2.9,2.8,12.0,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1,,armeltr01
22,Maxwell Lewis,22,SF,7,0,29,2.2,.333,.000,.000,8.0,0.0,3.9,8.8,1.7,0.0,25.0,12.1,-0.1,0.0,0.0,-0.082,-6.6,-2.9,-9.4,-0.1,,lewisma05
23,Jalen Hood-Schifino,21,SG,2,0,14,11.5,1.064,.000,2.000,8.3,0.0,4.0,9.2,0.0,6.7,34.7,9.0,0.0,0.0,0.0,.156,-3.9,1.5,-2.4,0.0,,hoodsja01
24,Quincy Olivari,23,PG,2,0,10,-5.2,.300,1.000,.000,0.0,0.0,0.0,13.3,0.0,0.0,16.7,26.3,-0.1,0.0,-0.1,-0.300,-10.1,-8.5,-18.6,0.0,,olivaqu01
