Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Scottie Barnes,23,PF,65,65,2134,17.8,.523,.263,.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,.078,1.5,0.9,2.4,2.3,,barnesc01
2,RJ Barrett,24,SF,58,58,1869,16.5,.547,.312,.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,.061,1.2,-0.7,0.6,1.2,,barrerj01
3,Ochai Agbaji,24,SG,64,45,1739,12.0,.601,.474,.090,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,.087,-0.9,0.2,-0.7,0.5,,agbajoc01
4,Jakob Poeltl,29,C,57,56,1686,20.0,.641,.005,.249,11.7,23.3,17.4,14.5,1.9,4.0,14.7,18.7,3.0,2.5,5.5,.158,0.7,1.3,2.0,1.7,,poeltja01
5,Gradey Dick,21,SG,54,54,1587,10.9,.543,.504,.240,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21.0,0.2,1.2,1.4,.042,-1.9,-1.3,-3.2,-0.5,,dickgr01
6,Jamal Shead,22,PG,75,11,1467,9.9,.499,.442,.137,2.1,6.4,4.2,29.8,1.9,0.7,18.0,18.6,-0.2,1.1,0.8,.027,-3.2,-0.9,-4.1,-0.8,,sheadja01
7,Jonathan Mogbo,23,PF,63,18,1286,11.9,.496,.197,.230,8.9,17.3,13.0,15.3,2.1,2.5,15.1,15.0,0.3,1.6,1.9,.071,-2.9,1.0,-1.9,0.0,,mogbojo01
8,Ja'Kobe Walter,20,SG,52,18,1103,10.8,.523,.473,.211,5.6,10.1,7.8,10.2,1.9,0.9,10.4,18.2,0.3,0.9,1.2,.052,-2.3,-0.6,-3.0,-0.3,,walteja01
9,Davion Mitchell,26,PG,44,22,1080,7.9,.536,.480,.152,1.6,7.0,4.2,24.6,1.4,0.7,23.1,13.1,0.0,0.7,0.7,.031,-4.0,-0.3,-4.3,-0.6,,mitchda01
10,Jamison Battle,23,SF,59,10,1042,10.7,.590,.746,.052,3.7,12.8,8.1,7.1,0.8,0.9,7.1,15.3,1.0,0.7,1.7,.079,-0.9,-1.3,-2.3,-0.1,,battlja01
11,Immanuel Quickley,25,PG,33,33,918,17.5,.570,.514,.292,1.8,12.1,6.8,31.5,1.2,0.4,10.5,25.1,1.8,0.6,2.5,.128,3.2,-1.0,2.2,1.0,,quickim01
12,Chris Boucher,32,PF,50,0,862,18.7,.615,.522,.235,8.5,19.6,13.9,5.9,1.3,2.8,6.6,21.2,1.7,1.0,2.7,.148,2.9,-0.6,2.3,0.9,,bouchch01
13,Orlando Robinson,24,C,35,8,713,12.9,.523,.193,.258,12.6,18.5,15.5,13.5,0.9,2.0,14.2,18.6,0.4,0.7,1.1,.074,-2.9,-0.5,-3.5,-0.3,,robinor01
14,A.J. Lawson,24,SG,26,2,486,12.7,.542,.532,.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,.081,-1.5,-1.0,-2.5,-0.1,,lawsoaj01
15,Kelly Olynyk,33,C,24,2,383,14.9,.624,.364,.364,6.8,18.4,12.5,20.7,2.0,2.0,20.4,18.8,0.4,0.5,0.9,.112,-0.7,0.9,0.2,0.2,,olynyke01
16,Bruce Brown,28,PG,18,0,353,12.3,.525,.275,.221,5.0,15.9,10.3,11.3,2.3,0.8,11.7,19.3,0.0,0.4,0.4,.060,-2.7,0.2,-2.5,0.0,,brownbr01
17,Colin Castleton,24,C,11,4,288,10.1,.549,.125,.281,12.4,16.0,14.1,8.3,1.0,2.7,22.6,13.5,0.0,0.3,0.3,.047,-5.0,-0.8,-5.7,-0.3,,castlco01
18,Garrett Temple,38,SG,28,0,227,8.5,.406,.467,.200,4.2,9.7,6.8,17.4,3.6,0.8,13.3,13.9,-0.1,0.3,0.2,.033,-5.7,2.1,-3.6,-0.1,,templga01
19,Jared Rhoden,25,SG,10,2,215,17.0,.633,.468,.316,5.8,13.3,9.5,9.6,2.0,0.9,8.2,19.0,0.5,0.2,0.7,.151,-0.1,0.1,0.0,0.1,,rhodeja01
20,Cole Swider,25,SF,8,0,156,8.0,.505,.724,.017,3.4,14.1,8.6,1.8,1.2,1.2,6.4,16.7,-0.1,0.1,0.1,.017,-4.1,-2.1,-6.2,-0.2,,swideco01
21,Bruno Fernando,26,C,17,2,147,15.3,.552,.000,.163,15.0,22.4,18.6,17.9,1.3,5.8,21.0,18.9,0.0,0.2,0.3,.085,-3.0,2.3,-0.7,0.1,,fernabr01
22,D.J. Carton,24,SG,4,0,33,-2.6,.202,.429,.143,0.0,13.3,6.5,10.9,2.9,0.0,35.0,14.5,-0.2,0.0,-0.1,-0.199,-10.4,-0.7,-11.1,-0.1,,cartodj01
23,Ulrich Chomche,19,PF,7,0,32,5.2,.425,.000,.400,13.1,13.7,13.4,7.8,0.0,3.0,25.4,10.3,0.0,0.0,0.0,.001,-6.1,-1.3,-7.4,0.0,,chomcul01
