Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Chris Paul,39,PG,82,82,2292,14.7,.580,.636,.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14.0,4.2,1.6,5.7,.120,0.3,0.5,0.8,1.6,,paulch01
2,Harrison Barnes,32,PF,82,82,2230,14.9,.656,.527,.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,.120,1.7,-1.7,0.0,1.2,,barneha02
3,Stephon Castle,20,SG,81,47,2162,13.7,.522,.337,.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,.025,-1.5,-1.7,-3.2,-0.6,ROY-1,castlst01
4,Devin Vassell,24,SG,64,53,1983,14.2,.553,.483,.135,1.8,12.0,6.9,13.8,2.0,1.5,8.5,22.1,0.9,1.3,2.2,.054,-0.3,-0.8,-1.1,0.4,,vassede01
5,Julian Champagnie,23,SF,82,29,1932,12.2,.577,.722,.141,3.7,13.9,8.8,7.9,1.5,1.6,9.5,17.2,1.3,1.2,2.5,.062,-0.3,-0.9,-1.3,0.4,,champju02
6,Keldon Johnson,25,SF,77,0,1838,15.6,.572,.356,.252,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,2.2,1.0,3.2,.083,0.0,-1.6,-1.6,0.2,,johnske04
7,Victor Wembanyama,21,C,46,46,1527,24.2,.594,.470,.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1.0,2.8,3.8,.118,3.6,2.9,6.5,3.3,AS,wembavi01
8,Jeremy Sochan,21,PF,54,23,1364,15.9,.589,.194,.267,10.0,17.7,13.8,13.7,1.6,1.8,13.8,19.0,1.7,1.1,2.7,.096,-0.8,-0.4,-1.2,0.3,,sochaje01
9,Blake Wesley,21,SG,58,0,683,9.9,.510,.312,.328,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7,-0.3,0.4,0.2,.011,-3.9,-0.3,-4.2,-0.4,,weslebl01
10,Sandro Mamukelashvili,25,PF,61,0,681,19.7,.628,.573,.206,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8,1.6,0.6,2.2,.152,3.3,-1.0,2.3,0.7,,mamuksa01
11,De'Aaron Fox,27,PG,17,17,578,16.3,.537,.339,.257,1.7,11.9,6.8,30.8,2.1,0.8,11.6,26.0,0.5,0.4,0.9,.071,-0.6,-1.4,-2.0,0.0,,foxde01
12,Bismack Biyombo,32,C,28,26,528,12.2,.576,.000,.219,8.7,23.4,16.0,7.9,1.5,3.9,17.8,12.3,0.2,0.6,0.8,.071,-3.6,0.0,-3.6,-0.2,,biyombi01
13,Tre Jones,25,PG,28,0,450,13.8,.572,.280,.355,3.6,10.3,6.9,30.1,1.9,1.0,16.3,12.2,0.9,0.3,1.1,.118,-1.2,1.1,-0.1,0.2,,jonestr01
14,Malaki Branham,21,SG,47,0,427,12.0,.575,.442,.174,1.8,11.1,6.4,13.4,1.2,0.4,14.3,23.8,-0.1,0.2,0.1,.007,-1.2,-1.9,-3.2,-0.1,,branhma01
15,Zach Collins,27,C,36,4,425,14.4,.566,.348,.265,9.6,15.9,12.7,16.9,1.6,3.2,13.5,17.1,0.6,0.4,1.0,.110,-1.6,1.5,-0.1,0.2,,colliza01
16,Charles Bassey,24,C,36,1,376,19.0,.597,.000,.282,15.9,27.4,21.7,6.6,1.8,7.2,14.9,17.5,0.5,0.6,1.1,.136,-1.7,0.6,-1.1,0.1,,bassech01
17,Jordan McLaughlin,28,PG,18,0,124,16.9,.734,.714,.214,1.7,6.1,3.9,29.1,1.9,0.7,14.0,12.3,0.4,0.0,0.5,.178,1.8,-0.5,1.3,0.1,,mclaujo01
18,Sidy Cissoko,20,SF,17,0,54,11.2,.533,.389,.333,5.9,13.9,9.9,15.8,0.9,0.0,8.8,17.9,0.0,0.0,0.0,.041,-1.6,-1.0,-2.6,0.0,,cissosi01
19,Harrison Ingram,22,SF,5,0,35,10.9,.500,.250,.000,6.1,21.5,13.8,10.6,4.1,0.0,20.0,6.1,0.0,0.1,0.1,.093,-3.6,2.4,-1.2,0.0,,ingraha01
20,David Duke Jr.,25,SG,6,0,34,12.2,.538,.429,.143,3.1,12.6,7.9,17.0,1.4,0.0,11.8,21.2,0.0,0.0,0.0,.023,-0.1,-1.4,-1.5,0.0,,dukeda01
21,Riley Minix,24,SF,1,0,7,-1.7,.000,1.000,.000,0.0,30.7,15.3,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,-0.114,-8.5,-3.3,-11.8,0.0,,minixri01
